,Localization,p_value,U_statistic
0,Cytosol,2.3401351596516285e-105,239205.0
1,Mitochondria,5.612949910187621e-22,52100.0
2,Nucleus,2.058269090502799e-93,325208.0
3,Secretory,2.7902625084547415e-24,478688.0
