,Score,Localization,Dataset_Name,Type
ALCAM,-0.5458528,Secretory,Lung_Tumor_PD,Proteome
ALDH1A3,-0.1396354,Cytosol,Lung_Tumor_PD,Proteome
ALDH3A2,-0.5177572,Secretory,Lung_Tumor_PD,Proteome
ALDH9A1,-0.108495444,Cytosol,Lung_Tumor_PD,Proteome
ALDOA,-0.14181922,Cytosol,Lung_Tumor_PD,Proteome
ALG1,0.20780577,Secretory,Lung_Tumor_PD,Proteome
ALG11,0.20962982,Secretory,Lung_Tumor_PD,Proteome
ALG3,-0.47156563,Secretory,Lung_Tumor_PD,Proteome
ALG5,0.19379224,Secretory,Lung_Tumor_PD,Proteome
ALG6,0.23398155,Secretory,Lung_Tumor_PD,Proteome
ALKBH3,-0.061311863,Cytosol,Lung_Tumor_PD,Proteome
ALKBH8,-0.111033805,Cytosol,Lung_Tumor_PD,Proteome
AMDHD2,-0.06122296,Cytosol,Lung_Tumor_PD,Proteome
AMFR,-0.2078468,Secretory,Lung_Tumor_PD,Proteome
AMOTL2,-0.092847034,Cytosol,Lung_Tumor_PD,Proteome
AMPD2,-0.04391746,Cytosol,Lung_Tumor_PD,Proteome
ANKLE2,0.051842514,Secretory,Lung_Tumor_PD,Proteome
ANKMY2,-0.14922582,Cytosol,Lung_Tumor_PD,Proteome
ANKRD12,-0.51549417,Nucleus,Lung_Tumor_PD,Proteome
ANKRD54,-0.43084553,Cytosol,Lung_Tumor_PD,Proteome
ANKS1A,-0.5656031,Cytosol,Lung_Tumor_PD,Proteome
ANO10,0.15135771,Secretory,Lung_Tumor_PD,Proteome
ANO6,0.09534048,Secretory,Lung_Tumor_PD,Proteome
ANXA1,-0.20044191,Cytosol,Lung_Tumor_PD,Proteome
ANXA11,-0.17671245,Cytosol,Lung_Tumor_PD,Proteome
ANXA5,-0.043413695,Cytosol,Lung_Tumor_PD,Proteome
AP2A1,0.06870538,Secretory,Lung_Tumor_PD,Proteome
AP2A2,0.06065872,Secretory,Lung_Tumor_PD,Proteome
AP2M1,0.06656785,Secretory,Lung_Tumor_PD,Proteome
AP3B1,-0.16187322,Cytosol,Lung_Tumor_PD,Proteome
AP3D1,-0.20305265,Cytosol,Lung_Tumor_PD,Proteome
AP3M2,-0.3675368,Cytosol,Lung_Tumor_PD,Proteome
AP4E1,-0.1067319,Cytosol,Lung_Tumor_PD,Proteome
APLP2,0.080905646,Secretory,Lung_Tumor_PD,Proteome
APMAP,0.120540954,Secretory,Lung_Tumor_PD,Proteome
APOO,0.46389616,Mitochondria,Lung_Tumor_PD,Proteome
APOOL,0.29917407,Mitochondria,Lung_Tumor_PD,Proteome
APP,0.063480355,Secretory,Lung_Tumor_PD,Proteome
APPL1,-0.06923392,Cytosol,Lung_Tumor_PD,Proteome
APRT,-0.19293396,Cytosol,Lung_Tumor_PD,Proteome
ARAP1,-0.092746265,Cytosol,Lung_Tumor_PD,Proteome
