,Score,Localization,Dataset_Name,Type
AP2A1,-0.48226246,Secretory,Mertins_Breast_PD,Proteome
AP2A2,-0.4411963,Secretory,Mertins_Breast_PD,Proteome
AP2M1,0.15777592,Secretory,Mertins_Breast_PD,Proteome
AP3B1,-0.080813214,Cytosol,Mertins_Breast_PD,Proteome
AP3D1,-0.11830061,Cytosol,Mertins_Breast_PD,Proteome
AP3M2,0.25150275,Cytosol,Mertins_Breast_PD,Proteome
AP4E1,0.20435727,Cytosol,Mertins_Breast_PD,Proteome
APLP2,0.2041586,Secretory,Mertins_Breast_PD,Proteome
APMAP,0.21576786,Secretory,Mertins_Breast_PD,Proteome
APOO,0.23666246,Mitochondria,Mertins_Breast_PD,Proteome
APOOL,-0.17733249,Mitochondria,Mertins_Breast_PD,Proteome
APP,-0.028317774,Secretory,Mertins_Breast_PD,Proteome
APPL1,0.24351503,Cytosol,Mertins_Breast_PD,Proteome
APRT,0.2768789,Cytosol,Mertins_Breast_PD,Proteome
ARAP1,0.3324676,Cytosol,Mertins_Breast_PD,Proteome
ARCN1,-0.20529461,Cytosol,Mertins_Breast_PD,Proteome
ARFGEF2,-0.42363462,Cytosol,Mertins_Breast_PD,Proteome
ARFRP1,-0.05867085,Secretory,Mertins_Breast_PD,Proteome
ARHGAP12,-0.45592737,Cytosol,Mertins_Breast_PD,Proteome
ARHGAP17,0.3271707,Cytosol,Mertins_Breast_PD,Proteome
ARHGAP35,-0.11113478,Cytosol,Mertins_Breast_PD,Proteome
ARHGAP5,-0.38249415,Cytosol,Mertins_Breast_PD,Proteome
ARHGDIA,0.21047188,Cytosol,Mertins_Breast_PD,Proteome
ARHGDIB,0.32046258,Cytosol,Mertins_Breast_PD,Proteome
ARHGEF10,0.32515886,Cytosol,Mertins_Breast_PD,Proteome
ARHGEF10L,0.27977213,Cytosol,Mertins_Breast_PD,Proteome
ARHGEF40,-0.44308415,Secretory,Mertins_Breast_PD,Proteome
ARHGEF7,0.30821675,Cytosol,Mertins_Breast_PD,Proteome
ARID1B,0.20376694,Nucleus,Mertins_Breast_PD,Proteome
ARIH1,-0.55373126,Cytosol,Mertins_Breast_PD,Proteome
ARIH2,0.18106155,Cytosol,Mertins_Breast_PD,Proteome
ARL6,0.19082402,Cytosol,Mertins_Breast_PD,Proteome
ARL6IP5,0.2562143,Secretory,Mertins_Breast_PD,Proteome
ARL8A,-0.4251594,Secretory,Mertins_Breast_PD,Proteome
ARL8B,0.24874763,Secretory,Mertins_Breast_PD,Proteome
ARMC10,0.253554,Mitochondria,Mertins_Breast_PD,Proteome
ARMC6,-0.2609315,Cytosol,Mertins_Breast_PD,Proteome
ARMCX3,-0.10099984,Mitochondria,Mertins_Breast_PD,Proteome
ARPC5,0.31703395,Cytosol,Mertins_Breast_PD,Proteome
ASAH1,-0.35704464,Secretory,Mertins_Breast_PD,Proteome
ASAP1,0.29912314,Cytosol,Mertins_Breast_PD,Proteome
ASH2L,0.26759318,Nucleus,Mertins_Breast_PD,Proteome
ASMTL,0.015327733,Cytosol,Mertins_Breast_PD,Proteome
ASPH,0.24315038,Secretory,Mertins_Breast_PD,Proteome
ASPSCR1,0.053521775,Cytosol,Mertins_Breast_PD,Proteome
ASS1,0.28338656,Cytosol,Mertins_Breast_PD,Proteome
ATAD1,-0.19271451,Mitochondria,Mertins_Breast_PD,Proteome
ATAD2,0.33810452,Nucleus,Mertins_Breast_PD,Proteome
ATAD2B,0.4028011,Nucleus,Mertins_Breast_PD,Proteome
ATAD3A,0.019806445,Mitochondria,Mertins_Breast_PD,Proteome
ATE1,-0.06722715,Cytosol,Mertins_Breast_PD,Proteome
ATF1,0.19195656,Nucleus,Mertins_Breast_PD,Proteome
ATG13,-0.5234621,Cytosol,Mertins_Breast_PD,Proteome
ATG16L1,-0.28301752,Cytosol,Mertins_Breast_PD,Proteome
ATG2B,-0.24027333,Cytosol,Mertins_Breast_PD,Proteome
ATG3,0.29645512,Cytosol,Mertins_Breast_PD,Proteome
ATG4B,0.23511347,Cytosol,Mertins_Breast_PD,Proteome
ATG5,-0.2837234,Cytosol,Mertins_Breast_PD,Proteome
ATG7,0.32395375,Cytosol,Mertins_Breast_PD,Proteome
ATG9A,0.11691986,Secretory,Mertins_Breast_PD,Proteome
ATIC,0.061320912,Cytosol,Mertins_Breast_PD,Proteome
ATL2,0.1698475,Secretory,Mertins_Breast_PD,Proteome
ATL3,0.25766283,Secretory,Mertins_Breast_PD,Proteome
ATP13A1,0.25214162,Secretory,Mertins_Breast_PD,Proteome
ATP1A1,0.2379346,Secretory,Mertins_Breast_PD,Proteome
ATP1B1,0.2095267,Secretory,Mertins_Breast_PD,Proteome
ATP1B3,0.2580576,Secretory,Mertins_Breast_PD,Proteome
ATP2A2,0.2445027,Secretory,Mertins_Breast_PD,Proteome
ATP2B1,0.251037,Secretory,Mertins_Breast_PD,Proteome
ATP2B4,0.12962645,Secretory,Mertins_Breast_PD,Proteome
ATP2C1,0.2607414,Secretory,Mertins_Breast_PD,Proteome
ATP6AP1,0.0289911,Secretory,Mertins_Breast_PD,Proteome
ATP6AP2,-0.18010692,Secretory,Mertins_Breast_PD,Proteome
ATP6V0A1,0.049755692,Secretory,Mertins_Breast_PD,Proteome
ATP6V0A2,0.24325635,Secretory,Mertins_Breast_PD,Proteome
ATP6V0D1,-0.07543249,Secretory,Mertins_Breast_PD,Proteome
ATP8B1,-0.109157406,Secretory,Mertins_Breast_PD,Proteome
ATP9A,0.10570113,Secretory,Mertins_Breast_PD,Proteome
ATPAF1,0.013714893,Mitochondria,Mertins_Breast_PD,Proteome
ATRN,-0.47887874,Secretory,Mertins_Breast_PD,Proteome
ATRX,0.13433817,Nucleus,Mertins_Breast_PD,Proteome
ATXN1,-0.42332298,Nucleus,Mertins_Breast_PD,Proteome
ATXN3,0.24876472,Cytosol,Mertins_Breast_PD,Proteome
ATXN7L3B,-0.42156738,Cytosol,Mertins_Breast_PD,Proteome
AUP1,0.19508927,Secretory,Mertins_Breast_PD,Proteome
AVL9,-0.27607733,Cytosol,Mertins_Breast_PD,Proteome
B2M,-0.4424592,Secretory,Mertins_Breast_PD,Proteome
B3GAT3,-0.19927014,Secretory,Mertins_Breast_PD,Proteome
B4GALT1,-0.46795592,Secretory,Mertins_Breast_PD,Proteome
BAG3,-0.107012525,Cytosol,Mertins_Breast_PD,Proteome
BAG6,-0.39776307,Cytosol,Mertins_Breast_PD,Proteome
BAX,-0.5100992,Cytosol,Mertins_Breast_PD,Proteome
BAZ1A,0.47545552,Nucleus,Mertins_Breast_PD,Proteome
BAZ1B,0.46888465,Nucleus,Mertins_Breast_PD,Proteome
BAZ2A,-0.14590904,Nucleus,Mertins_Breast_PD,Proteome
BCAP29,0.19253947,Secretory,Mertins_Breast_PD,Proteome
BCAP31,0.21138309,Secretory,Mertins_Breast_PD,Proteome
BCAR1,-0.35475788,Cytosol,Mertins_Breast_PD,Proteome
BCAS3,-0.17939042,Cytosol,Mertins_Breast_PD,Proteome
