,Localization,p_value,U_statistic
0,Cytosol,4.3950331841889886e-30,625362.0
1,Mitochondria,0.0001915593068648913,23750.0
2,Nucleus,4.798323556892155e-85,254204.0
3,Secretory,1.2865962951939898e-07,198327.0
