,Localization,p_value,U_statistic
0,Cytosol,2.3738668429614658e-116,848867.0
1,Mitochondria,0.010531979630549717,39332.0
2,Nucleus,1.580038359900917e-125,346402.0
3,Secretory,2.4170061574104567e-37,406890.0
