gene_name,C3L-02168-Tumor,C3N-04162-Tumor,C3L-01663-Tumor,C3N-02300-Tumor,C3L-00568-Tumor,C3L-02627-Tumor,C3L-00965-Tumor,C3N-03424-Tumor,C3L-02625-Tumor,C3L-02619-Tumor,C3N-02289-Tumor,C3L-01884-Tumor,C3N-01025-Tumor,C3L-02963-Tumor,C3L-02546-Tumor,C3L-02552-Tumor,C3N-02288-Tumor,C3N-03425-Tumor,C3N-01020-Tumor,C3N-01194-Tumor,C3L-02964-Tumor,C3N-02675-Tumor,C3N-02339-Tumor,C3L-03272-Tumor,C3N-03875-Tumor,C3N-03848-Tumor,C3L-02650-Tumor,C3N-03486-Tumor,C3L-00904-Tumor,C3L-02646-Tumor,C3N-02375-Tumor,C3N-00211-Tumor,C3N-02374-Tumor,C3N-03877-Tumor,C3L-01606-Tumor,C3L-01000-Tumor,C3L-04391-Tumor,C3L-00445-Tumor,C3L-02130-Tumor,C3N-03441-Tumor,C3N-02575-Tumor,C3N-03092-Tumor,C3N-03051-Tumor,C3N-03093-Tumor,C3L-02127-Tumor,C3L-02669-Tumor,C3L-00081-Tumor,C3L-03963-Tumor,C3N-02425-Tumor,C3N-01892-Tumor,C3N-01893-Tumor,C3N-00555-Tumor,C3N-03882-Tumor,C3L-03962-Tumor,C3L-02665-Tumor,C3L-00927-Tumor,C3L-04014-Tumor,C3N-03880-Tumor,C3N-01846-Tumor,C3N-03076-Tumor,C3N-02426-Tumor,C3L-01838-Tumor,C3L-03961-Tumor,C3L-03965-Tumor,C3N-03072-Tumor,C3N-00221-Tumor,C3N-04127-Tumor,C3L-00923-Tumor,C3L-02649-Tumor,C3L-02891-Tumor,C3N-03851-Tumor,C3N-03886-Tumor,C3N-03662-Tumor,C3N-02434-Tumor,C3N-02435-Tumor,C3L-04013-Tumor,C3N-04124-Tumor,C3L-02660-Tumor,C3L-02648-Tumor,C3N-02283-Tumor,C3L-02968-Tumor,C3L-01285-Tumor,C3L-00603-Tumor,C3L-02969-Tumor,C3L-00415-Tumor,C3L-01455-Tumor,C3L-00993-Tumor,C3N-00497-Tumor,C3L-03678-Tumor,C3N-00247-Tumor,C3L-02349-Tumor,C3N-04155-Tumor,C3L-02163-Tumor,C3L-02629-Tumor,C3N-02285-Tumor,C3N-02252-Tumor,C3N-01411-Tumor,C3N-01028-Tumor,C3L-02358-Tumor,C3N-02284-Tumor,C3L-02170-Tumor,C3L-02164-Tumor,C3N-02523-Tumor,C3L-04071-Tumor,C3N-02494-Tumor,C3L-02951-Tumor,C3N-03204-Tumor,C3N-01017-Tumor
A1BG,0.1423,0.161,0.3435,0.2375,0.4447,0.0369,0.1808,0.235,0.203,0.4474,0.2522,0.404,0.1549,0.1006,0.3055,0.1768,0.5575,0.0418,0.6319,0.2288,0.1912,0.4489,0.4501,0.0885,0.0595,0.1758,0.0962,0.1103,0.1674,0.123,0.1231,0.1566,0.3234,0.4994,0.4629,0.289,0.3693,0.1871,0.1322,0.2152,0.4524,0.5741,0.2435,0.3154,0.3174,0.4206,0.1282,0.1081,0.118,0.4374,0.7125,0.1499,0.0,0.3385,0.2827,0.3761,0.5579,0.1531,0.5693,0.1236,0.3471,0.1771,0.2301,0.1422,0.0646,0.2535,0.0913,0.1863,0.273,0.1693,0.4091,0.0974,0.2857,0.1443,0.6021,0.8236,0.089,0.6519,0.1294,0.8481,0.1161,0.2888,0.4946,0.2022,0.0,0.1798,0.1378,0.182,0.1723,0.2074,0.1333,0.0,0.483,0.2996,0.1044,0.5056,0.0562,0.2766,0.2886,0.0651,0.1794,0.1221,0.0569,0.2821,0.0779,0.1229,0.1303,0.1218
A1CF,0.0889,0.1054,0.2766,0.0198,0.1204,0.0692,0.5605,0.0783,0.1041,0.0986,0.0788,0.2776,0.2257,0.0262,0.1272,0.0491,0.0166,0.1916,0.0226,0.0502,0.3273,0.0979,0.0714,0.2947,0.0557,0.1301,0.0343,0.0459,0.0597,0.912,0.0073,0.0913,0.0359,0.2189,0.0964,0.127,0.0769,0.052,0.0451,0.0896,0.0685,0.2005,0.0203,0.0876,0.0721,0.3503,0.1068,0.2071,0.014,0.5464,0.0568,0.0681,0.0343,0.5205,1.5653,0.1044,0.8251,0.0708,0.0494,0.8898,0.0255,0.1537,0.1118,0.0962,0.0269,0.0559,0.0951,0.0846,0.4092,0.141,0.1936,0.4192,0.0264,0.0534,0.0602,0.8623,0.1019,0.0434,0.1001,0.5402,0.0621,0.0902,0.1791,0.1914,0.0655,0.1497,0.1319,0.0596,0.1025,0.1661,0.0555,0.2127,0.1267,0.0881,0.0957,0.0902,0.1561,0.1229,0.0401,0.0542,0.0575,0.0565,0.332,0.1401,0.1493,0.091,0.1861,0.0507
A2M,215.2698,114.0716,755.2674,410.9118,251.3761,367.9807,372.8639,1463.2875,168.6203,334.2096,670.516,215.026,173.9044,320.6922,338.977,780.7423,460.421,138.3256,417.0134,159.5957,338.3436,1246.2525,116.41,201.8813,213.4323,676.8945,437.4918,152.9576,246.4307,437.3686,118.2684,220.5746,180.3904,566.4824,615.6774,786.1065,307.1443,312.3552,351.11,812.2364,101.8918,505.8134,208.5992,220.2636,267.2581,175.5929,113.5006,826.7922,169.4663,434.4241,505.8887,212.6727,91.0548,157.4945,309.8191,106.4202,501.0917,161.3848,263.9196,386.4671,506.6408,464.9462,463.2258,523.5001,176.4427,172.1307,313.4329,926.5474,209.6014,580.4257,226.7174,285.3044,299.8185,125.197,220.4291,116.3078,212.812,1515.4858,384.3383,118.3976,343.9303,92.4643,313.7201,409.0998,165.1287,417.7274,177.1919,541.453,266.1103,356.2036,740.9577,170.7369,148.7243,1006.5525,530.2931,696.7776,143.2238,388.7633,358.5715,88.3325,879.3995,585.7664,194.2887,330.6606,247.6862,248.3613,192.2493,354.9821
A2ML1,44.6447,66.6623,37.0002,34.6999,3.8267,1.8997,5.6584,0.6215,249.5227,372.6019,2.1585,103.9246,104.4511,23.3963,16.3605,0.3359,138.2419,62.0452,26.7158,31.6087,112.9096,367.029,2.1083,113.8907,9.9768,18.229,163.3416,59.4151,120.6524,38.9974,6.6945,49.0864,92.3499,10.4292,83.3028,0.4217,9.9377,5.4849,13.8445,9.7577,70.0211,0.1552,180.8879,0.3173,50.1691,26.2734,33.1284,1.0635,39.1696,8.6226,169.6053,3.4799,30.8039,28.0285,0.3439,1.4213,0.215,16.6417,20.6384,2.2302,3.1723,77.4573,56.5367,13.0805,41.5956,256.3307,22.8644,14.9458,0.2543,2.782,0.1975,0.3085,15.593,6.4051,18.5342,0.8153,51.9378,5.2899,5.702,0.7528,89.1134,0.1479,3.4369,126.2678,133.6901,0.6492,10.3314,1.3077,36.2971,6.3554,50.0456,1.2605,54.5567,0.2364,22.4928,1.8265,62.2832,13.584,12.3842,190.6139,7.8514,0.8037,81.9811,0.6246,5.6874,54.8326,4.3279,10.6223
A3GALT2,0.2086,0.3597,1.4324,0.8665,0.2607,0.3611,0.0,0.1225,0.1831,0.3087,0.8012,0.4737,0.0,0.295,0.0459,0.3686,0.1557,0.5723,0.7763,0.3296,1.4948,1.0026,0.5028,0.4323,0.1743,0.1527,0.3223,1.2939,0.2804,0.2886,0.0,0.1837,0.2528,0.0,1.2337,0.3138,0.5775,1.138,0.047,0.3235,0.1608,0.1448,0.2538,0.411,0.3384,0.1731,0.4177,0.3381,0.5932,1.0258,0.4148,1.2251,0.1288,1.4252,0.2601,0.21,1.8047,1.1302,0.8345,0.4142,0.6386,0.2308,0.075,0.2779,0.1263,0.3498,0.0595,0.1324,3.1302,0.6619,1.454,0.2539,0.2482,0.0,0.2825,2.6676,0.0869,0.5097,0.289,4.2256,0.9723,0.0941,3.1103,0.3594,0.0,0.6487,0.4308,0.2033,0.2886,0.1247,0.4465,0.9982,0.0699,0.4822,1.3064,0.0,0.0733,0.3605,1.3536,0.0,0.2698,0.1061,0.4452,0.5939,0.0,0.1602,0.4366,0.1905
A4GALT,29.5099,42.2946,19.4189,38.5948,12.4177,14.2131,38.3521,55.606,37.9204,36.5167,9.8004,39.9058,91.4404,18.5414,24.8614,30.1633,41.5401,53.0724,18.49,11.762,24.666,13.7197,39.2096,60.4523,58.0471,12.0261,33.2165,26.9494,22.5249,31.7356,49.628,34.9864,38.0763,8.0448,16.1861,12.18,23.5526,62.7757,15.8037,27.5741,29.9267,11.3353,31.7768,8.6901,39.555,19.2958,22.294,28.5344,46.2437,25.5418,22.8751,30.036,57.9754,113.3809,33.4726,12.7342,29.0249,24.9322,21.7786,5.2994,18.3595,59.9082,26.7406,33.0392,44.648,65.422,21.7339,12.1429,3.7494,10.849,2.2812,14.3459,34.7413,63.7807,53.7526,3.5029,60.9421,23.7569,61.9443,2.6934,13.1118,7.909,8.8094,58.0245,22.6271,18.133,7.0545,25.7466,25.5294,13.1257,14.8047,46.5499,45.5716,15.824,32.461,10.58,51.2653,12.651,17.7773,51.3279,18.1779,13.5408,87.3069,18.2732,16.9643,24.2028,31.3048,30.1529
A4GNT,0.4798,0.2585,0.9781,0.3559,0.5997,0.0831,0.271,0.2113,0.3159,0.9467,0.3544,0.2724,0.557,0.0848,0.3169,0.3444,0.3133,0.141,0.2029,0.3791,0.382,0.5766,0.53,0.5966,0.4678,0.5269,0.278,0.0276,0.645,0.5531,0.0791,0.4576,0.63,0.2954,0.0946,0.7218,0.083,1.1686,0.3783,0.6325,5.917,0.4995,0.2919,0.5673,1.1028,1.6917,0.7206,0.5347,0.3032,0.7078,0.2726,0.1838,0.2591,1.9318,0.3739,0.3624,0.2162,0.2294,0.7998,0.1985,0.5508,0.1991,0.6035,0.4395,1.5257,0.2346,0.2737,0.3046,0.8182,0.4187,0.5435,2.0437,1.9266,0.4684,0.1624,0.1587,1.2498,0.1759,0.2078,0.2991,0.2982,0.4868,0.29,0.9919,0.4318,0.0622,0.2787,0.4384,0.2213,0.6812,0.1712,0.3827,0.6032,0.7923,0.3756,0.4465,0.9268,0.1658,0.3459,0.0,0.0931,0.6405,0.128,0.2683,0.035,0.1535,0.1674,0.2739
AAAS,21.6106,29.0725,22.6299,22.7562,20.2008,18.9901,22.061,16.6435,16.5143,22.0665,23.5669,32.1079,18.0934,10.033,13.3577,16.133,24.5744,24.3444,27.4768,14.286,22.9319,25.8575,16.1031,31.081,21.6303,18.7885,15.5179,21.229,13.6346,27.9361,24.5104,16.7459,19.7167,25.0166,20.6473,16.395,20.9495,25.121,18.2028,16.4799,20.668,15.9012,24.9081,21.58,15.3802,18.2204,14.0837,21.7158,12.567,21.1341,19.4951,27.9424,15.73,34.8306,24.89,28.0477,36.2417,19.2366,26.1667,24.8584,23.027,15.3099,19.6613,25.9365,28.0808,22.7833,13.9973,16.4213,23.3714,19.2961,21.1929,36.8915,24.4649,26.4992,27.9562,32.3092,19.9811,21.0902,21.8146,44.9925,18.9375,41.4259,33.8738,19.3345,17.3889,12.6475,24.0665,15.4635,31.0452,14.4385,32.3727,28.9102,44.4057,24.5994,21.5049,21.57,29.1409,18.0678,25.4365,41.6402,11.5123,12.9366,28.2807,22.0238,17.1011,19.227,28.9952,20.5543
AACS,8.4714,13.3112,9.6787,7.9896,11.9071,5.2697,5.8055,6.9125,10.108,19.4184,10.5226,6.9145,4.6722,3.4617,5.3691,3.6086,9.3126,11.1584,17.0421,4.1473,9.5498,11.6336,5.1254,9.2429,9.5734,5.0406,5.5772,9.8694,3.5056,8.6198,3.421,5.3375,8.117,6.7306,8.7185,11.5374,3.8997,12.5831,13.0671,5.0468,5.3632,6.0438,8.2757,5.9983,14.9008,9.5974,6.4259,4.2973,19.2879,13.8269,6.0593,8.8671,16.9053,13.4662,9.1352,10.4187,11.5588,8.7818,11.2247,8.92,8.0033,5.1488,12.0672,6.833,5.1976,13.065,4.7173,6.153,17.8189,6.5735,8.0312,20.2556,7.3132,6.8506,16.1061,13.9752,7.0755,4.7658,5.7886,8.5706,5.3001,6.3295,14.5728,9.5398,9.7925,3.624,11.9874,3.1247,14.3227,6.0012,10.5899,6.5786,20.8441,8.8317,11.0926,7.4241,9.9061,5.5732,14.4705,21.2166,3.3619,3.065,9.8069,4.6916,4.496,7.5055,12.9922,7.3823
AADAC,20.792,9.6945,1.3468,5.3924,0.7082,6.7906,2.363,6.7551,24.6435,1.5479,1.6225,38.1102,2.1631,2.1572,5.9589,2.1371,6.2446,1.9985,2.6543,4.0729,14.3669,4.1899,1.4182,9.1596,6.7386,7.4187,1.6497,8.6811,3.75,3.4368,32.63,18.1888,8.2414,3.478,17.9411,3.895,3.2127,10.955,2.6509,27.7802,229.5284,1.089,8.1929,9.4814,6.5054,0.1085,2.0946,3.7093,3.0161,8.6591,1.2259,4.8747,21.6304,0.3191,9.577,1.4922,95.2622,4.6675,12.0312,0.2596,7.8055,6.0042,5.1216,2.3517,8.3156,46.8438,9.2871,3.9429,0.3568,17.6757,0.1367,0.5569,21.4684,1.7676,4.9576,0.1153,50.4629,3.8339,18.3439,0.2445,3.5349,12.1462,2.8454,1.4417,78.0094,1.2877,12.6587,1.5291,48.2472,2.4623,76.9719,209.4461,6.1811,0.1727,23.2875,12.6545,16.2565,37.2834,3.771,7.9768,3.1113,7.5472,4.1399,6.4083,4.2009,3.8488,15.7382,7.7628
AADACL2,15.0523,3.8456,0.5238,0.8865,0.7364,1.049,6.9076,3.0016,11.5394,0.3113,0.1368,20.8824,3.1387,0.4066,0.3521,0.0929,2.8575,0.2969,1.5661,0.8929,4.1379,0.354,0.524,1.3431,1.3012,0.154,1.7337,10.3053,2.1308,1.6688,4.0368,0.9509,5.0326,1.5961,13.7547,1.1775,1.0048,2.345,0.6067,6.304,2.1082,0.6426,0.448,0.5638,2.7081,0.0175,2.4268,0.7845,3.0051,1.6831,0.1913,2.5037,11.0134,1.4991,0.1705,0.6356,16.1104,2.9774,15.2448,0.5013,0.8051,1.5133,2.2985,1.5838,6.6778,16.7809,1.9446,2.3776,0.0431,11.484,0.0,0.5377,7.6852,2.6168,1.3106,0.1485,13.3642,1.3367,6.5159,0.0787,0.7453,43.6064,0.39,0.464,22.4065,1.7014,1.2928,0.4203,3.6684,0.1509,11.8004,4.0944,27.1018,0.6949,9.2242,4.8416,3.0888,1.2944,2.4879,1.6173,0.6421,0.1284,4.2814,0.6418,0.7497,0.1723,4.1254,1.7104
AADACL3,0.0,0.0,0.0226,0.0,0.0,0.0,0.0396,0.0,0.0308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0178,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0136,0.0484,0.0236,0.0,0.0,0.0,0.0,0.0,0.0,0.0317,0.0,0.0,0.0,0.0163,0.0,0.0913,0.0,0.0,0.0,0.0655,0.0211,0.128,0.0,0.0173,0.0,0.0,0.0162,0.1798,0.246,0.0177,0.0,0.0,0.0234,0.0,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5678,0.0,0.0,0.0,0.0,0.0,0.0,0.0219,0.0772,0.0,0.0,0.0,0.0475,0.0,1.6138,0.0,0.0,0.0136,0.0,0.0,0.0944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0214,0.0,0.0,0.0,0.0
AADACL4,0.0903,0.0,0.0,0.0,0.0,0.0,0.0,0.0398,0.0,0.0668,0.0,0.0,0.0,0.0319,0.0,0.0,0.0,0.0,0.0458,0.0,0.0,0.0,0.0544,0.0562,0.0377,0.0,0.0349,0.0,0.0,0.0625,0.0,0.0,0.0547,0.0,0.0,0.0408,0.0,0.0,0.0,0.084,0.0,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1673,0.0,0.0,0.0455,0.0,0.0,0.0,0.0,0.1037,0.0,0.0487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0844,0.0842,0.0,0.0,0.0934,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0488,0.0,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0619
AADAT,4.1197,4.6147,7.8017,3.2616,5.2987,0.7214,9.6301,2.4676,2.0817,4.6426,4.1181,7.0167,4.233,2.049,2.3728,3.9991,9.5435,3.2664,3.0143,1.0055,5.2916,3.7413,4.5891,12.4489,4.8237,3.0245,3.0156,1.8652,0.8693,15.2074,7.461,5.0395,3.1932,16.882,6.5724,9.0151,6.589,3.7238,2.7029,3.053,2.492,1.9199,4.1523,17.9519,4.7792,6.4079,12.6896,15.6361,0.2724,5.5826,3.4498,3.119,3.5702,29.5587,7.793,2.0982,12.6397,1.3282,5.1419,12.3638,5.7462,4.8098,3.3565,5.1211,8.1378,7.0073,4.5908,2.5315,3.8472,4.56,13.0464,30.3416,7.5226,7.7272,12.5182,35.1056,5.45,2.9143,2.3395,12.0468,11.7436,18.7593,9.3812,4.58,7.1247,2.6628,5.6389,1.768,10.4058,3.2645,3.3837,8.7671,6.6484,10.6541,3.9373,4.6682,5.8795,6.9532,2.3312,8.3719,3.5679,2.9596,2.7094,4.135,7.3868,2.6114,6.7179,2.5594
AAGAB,40.7604,74.6241,50.0864,59.7631,53.0064,41.69,45.3932,26.339,19.2422,39.7062,36.0628,51.3571,55.6007,18.1578,32.0167,24.0334,37.5196,59.358,52.377,34.1522,43.0921,35.1565,29.2501,44.3332,44.8644,31.4108,30.7928,25.9686,40.1168,44.2067,40.5452,55.7842,36.0246,57.4852,74.3575,29.9317,38.7257,48.2498,32.7705,35.0922,27.9622,39.0314,48.0447,31.7851,38.1786,54.0135,59.6652,26.5414,22.6661,41.3024,47.4703,34.5138,43.7367,81.7662,39.3463,66.3476,43.501,43.2263,61.7539,46.2641,32.8759,32.6815,48.7372,39.7963,83.0524,46.1728,37.1866,39.0887,60.1145,41.5489,62.6175,49.0775,48.8386,56.0495,37.7081,64.5379,45.9084,34.1978,48.6067,45.0806,41.6315,43.346,48.5043,44.7772,52.6387,32.2366,41.551,27.0119,54.2547,32.9412,45.2967,76.0238,37.189,31.7795,41.6833,35.0757,35.5709,38.6412,53.132,84.7212,26.6486,17.6234,71.7121,28.6089,32.3378,35.955,42.244,45.9709
AAK1,27.2059,20.8349,22.5028,14.027,18.7926,12.3061,12.1855,9.7955,15.2462,13.0537,12.0061,23.9886,26.4449,8.3386,9.8016,10.9736,28.2957,18.9156,10.4563,9.8765,16.9166,25.3434,20.589,29.9293,13.3521,18.3779,9.0903,7.0625,17.0863,22.4188,14.1157,12.6823,12.9831,14.2039,18.231,12.9409,18.5575,16.0769,8.1557,20.1624,15.8761,13.256,11.0542,20.2565,19.2914,29.7483,17.8193,15.3826,11.2013,22.5086,18.1152,9.4797,14.3501,16.4616,14.8584,17.3049,18.8979,13.6116,43.672,10.9891,18.1701,13.2657,18.4738,15.8036,19.4057,41.8555,10.8175,11.2222,7.5903,21.3452,15.4623,13.1557,34.6191,23.8663,21.7234,10.4468,24.6158,14.3475,11.3871,10.0681,13.2602,10.6634,20.1598,19.9777,11.7448,11.1776,9.0055,10.7857,14.0804,14.5427,17.1553,27.9462,31.4905,18.3226,20.0356,28.1075,14.4593,13.6534,16.2756,21.4426,10.8547,8.6076,18.8354,23.2604,10.4592,9.3043,16.7969,23.4855
AAMDC,3.0754,6.4858,8.1545,5.6046,4.4386,5.1713,8.9314,4.61,4.3712,3.0336,7.9171,5.0302,3.028,1.786,4.2798,4.3179,4.0158,2.7547,6.0195,2.5534,4.8094,7.3025,4.1029,6.1002,3.702,4.7036,3.0259,10.1426,4.823,3.8489,2.4619,6.8974,4.5261,5.4099,5.4562,7.6336,8.7795,3.9374,3.6615,4.4623,3.8092,6.6317,2.8395,3.9819,3.8011,2.6879,5.1901,4.3618,4.9625,4.1766,4.1188,3.0849,2.915,5.3597,5.0318,4.7923,5.4636,3.7454,5.907,6.1058,6.2199,4.6482,5.1306,8.2669,6.5189,4.2354,2.6942,5.8566,12.3231,4.2867,4.3253,17.9101,4.8347,3.7282,6.0478,15.3525,5.7216,4.8303,5.3261,7.4274,3.2762,10.2516,6.9928,2.5354,4.8163,3.7572,4.1963,3.8262,6.2307,6.1389,5.5248,4.7736,3.7557,6.71,4.8578,6.0578,5.4772,5.0105,3.4445,2.345,2.9257,3.5187,5.1573,3.6405,2.8228,4.1323,6.7437,4.3636
AAMP,76.7957,66.693,97.731,90.1508,70.3711,88.3917,109.8211,84.2286,66.9682,102.3272,87.5822,62.6625,101.5435,54.013,65.05,53.1806,149.4638,65.837,60.3573,70.4608,99.1064,92.8888,119.952,54.664,71.8407,56.5064,71.5291,133.8779,94.2154,107.001,106.3831,105.058,95.2201,125.3802,79.2078,80.3494,72.372,103.3531,55.7009,74.9816,106.4642,70.3453,73.1289,85.5552,93.529,101.4407,88.7892,58.3697,84.8863,111.9569,80.7701,119.5032,78.4927,78.8118,165.0869,118.8001,116.3084,69.6812,127.7661,80.417,72.783,69.1927,47.9924,73.7721,49.9647,123.0913,72.7645,68.1111,192.819,106.0617,112.0567,113.1868,95.2389,105.4851,75.447,117.1716,69.1698,68.5768,68.5236,148.7902,87.2329,79.5008,141.9822,60.0971,90.1127,59.4866,134.2374,54.5582,112.9222,54.098,139.9786,129.2123,52.527,66.0676,94.1365,111.2113,68.0517,69.6492,91.105,78.5345,53.493,45.5217,108.9621,63.2967,61.2243,67.9026,164.4696,144.0578
AANAT,0.5939,1.024,0.977,0.2349,0.8248,1.028,1.1924,0.6682,2.7807,0.7323,0.2339,0.562,0.7181,0.2566,0.5012,0.3061,0.9601,0.737,1.5069,1.05,0.7092,3.1716,1.8289,1.3128,0.3584,0.9782,0.6626,1.2733,1.0645,1.4149,1.1746,0.1743,0.8398,1.2676,0.4293,0.4765,0.1028,1.6199,0.2675,0.7982,1.4876,0.4465,0.2408,1.6772,1.8734,0.9443,0.7531,0.4813,0.8757,0.6814,1.3217,0.0758,0.7942,0.8694,0.9563,1.5282,0.3925,2.8706,0.5719,0.262,0.5302,0.5202,0.9247,0.956,0.4196,0.8851,0.3953,1.0053,0.3713,1.1621,0.8624,0.4216,1.1187,0.5055,1.2509,0.0873,1.4025,0.7739,0.5829,0.401,1.3225,0.7141,0.3989,2.4213,0.6154,0.5387,0.511,0.844,0.4109,1.2426,0.6356,1.1051,0.2323,0.6537,0.2325,2.6459,0.7647,0.65,0.8563,0.7246,0.3584,0.9563,0.2465,1.1272,0.4047,0.5827,0.6561,1.0396
AAR2,34.6166,20.3489,35.9726,28.3795,17.8049,21.8476,42.1783,26.9662,21.2867,29.2924,24.0714,35.8937,32.0542,13.2827,27.952,22.966,44.4693,35.3024,32.3385,17.4743,28.7375,40.8216,34.4428,29.6363,32.3395,23.5519,19.101,27.4439,21.6472,32.7792,28.1975,25.6477,22.02,50.3708,22.1943,36.007,34.3156,52.8541,21.7018,32.4632,24.7958,21.6837,36.5872,32.9497,32.3017,36.5661,37.0392,28.4731,38.4433,35.69,21.9947,36.5492,34.7882,47.5864,22.9276,62.1107,39.567,19.3661,53.5907,27.1443,33.1263,21.4911,25.5938,26.77,15.4631,41.2102,31.3083,19.44,32.4812,29.3048,37.7975,44.2598,27.3864,36.7969,42.5529,82.6302,31.4046,33.0231,27.7942,50.8483,36.8218,24.5453,52.9665,22.7386,30.4928,20.6167,44.3426,33.3458,41.4201,20.3432,37.8083,47.7736,42.8425,27.3849,26.9089,28.4557,28.3008,23.8551,29.0992,35.7671,21.8558,19.4924,28.4215,27.6803,37.2228,33.5005,36.4201,28.5979
AARD,0.0888,0.0,1.0286,0.5531,0.037,0.3995,2.072,2.0584,0.0779,0.3941,9.1001,0.4032,0.1546,0.2301,0.7426,0.7842,0.9273,0.0348,0.1502,0.0401,1.2015,1.4578,0.4635,0.0368,0.1484,0.7473,0.2971,0.0408,0.5569,0.4912,0.1463,0.0782,0.0717,1.0931,0.35,3.8461,0.5222,0.7956,0.2599,1.6244,0.1026,0.7393,0.405,0.1399,0.096,1.1046,0.2133,2.7699,0.0,0.3492,0.8322,0.3627,0.137,2.8157,0.083,0.1192,0.544,0.0849,0.3946,4.7587,1.5965,0.5402,1.1483,1.153,0.7527,0.3225,0.557,0.7607,3.0274,1.183,2.8462,2.4306,0.4224,0.5867,0.9616,3.6795,0.111,1.0845,0.3075,3.7346,0.2207,8.2056,3.1121,0.1223,0.1453,0.5521,0.0,1.3624,0.8188,0.3184,1.6468,0.9557,1.6368,0.2052,1.0424,0.7509,0.0935,0.4295,0.704,0.0,1.5611,1.106,0.6,0.4513,0.5185,0.159,0.1239,0.527
AARS1,39.7336,74.4463,59.0818,38.2978,41.5485,50.2204,46.5284,30.2984,48.4467,43.3738,52.6607,32.7651,51.235,32.7235,26.4472,27.255,85.6162,74.1317,47.5467,28.5345,39.2515,45.106,38.1842,79.6833,90.5374,34.536,24.1811,57.2411,35.2245,67.5402,56.3636,43.7909,63.645,80.1999,32.7585,32.8371,94.3402,67.1545,63.8207,36.7548,101.9699,32.6335,54.9819,35.5899,91.6626,80.295,166.7092,36.8852,43.6229,82.6289,41.063,74.2217,90.5249,81.7526,159.1799,49.2611,89.507,47.2126,63.5509,49.1447,55.4659,43.1372,44.3498,46.1131,57.5109,122.8616,38.0494,20.1325,122.6596,66.4732,53.4202,39.8744,66.581,49.036,56.2235,38.1159,52.2269,44.621,48.1399,92.6564,54.7335,107.9634,24.4523,47.1382,43.7703,34.5601,55.0208,31.5848,78.6684,36.3744,125.0447,100.0715,62.495,42.4231,61.1055,67.6304,37.6481,47.8734,39.7852,69.8794,22.0485,24.7316,39.0974,66.1565,37.8104,42.174,97.7467,61.2218
AARS2,29.8283,27.3394,22.8527,23.0206,11.737,15.9687,26.6985,12.4154,12.1637,16.1036,16.0199,24.8855,19.9901,10.7071,11.5256,9.8096,23.5119,19.2564,25.3558,13.3143,24.8115,35.5138,21.9288,20.8898,12.1681,14.4392,18.8046,19.2743,15.834,14.1914,16.8686,16.4268,17.056,25.9076,20.2559,14.0493,16.2569,18.2588,10.2705,16.578,8.1892,16.7971,14.1279,23.2781,25.3167,21.1585,15.0314,22.1724,40.5957,25.8108,11.184,23.1806,10.0511,45.3945,15.5933,36.7563,33.9579,25.4297,19.9589,18.6711,19.2382,12.9162,12.1124,40.0517,20.3414,61.9079,12.5525,14.317,27.0729,21.9216,26.8998,34.1093,17.1212,45.2112,28.6273,21.021,14.1498,19.5752,11.3093,53.944,20.5303,26.7091,31.3497,19.0059,14.9611,12.5338,16.9413,14.6683,37.0077,11.4746,19.0548,30.2093,17.7696,15.1918,18.691,18.5554,13.0389,17.4605,20.34,20.811,9.3179,10.7444,18.6235,18.9411,21.5918,12.0658,18.5199,29.4292
AARSD1,1.3828,2.6076,2.2006,0.5641,1.5362,0.6981,2.6245,1.4036,1.1634,0.9946,1.2255,2.5732,3.4109,0.7332,0.9132,0.6871,2.4075,2.0321,1.267,1.0403,1.2614,1.9153,1.4117,2.8418,1.0111,1.4551,0.8456,1.4162,1.4457,1.6737,1.6333,1.5048,1.2569,3.2352,0.954,0.8147,1.0367,2.1103,1.0512,2.5016,1.1323,1.9193,0.9287,1.5439,3.9256,1.7684,2.2842,2.218,1.2197,1.9454,1.2767,1.3681,1.6003,3.0646,1.4544,2.4172,2.2015,1.3588,1.9975,1.8874,1.1243,1.3387,0.8281,2.6096,1.8494,3.0106,0.8874,0.8229,1.7291,2.4132,1.787,2.8045,2.9131,2.648,3.3805,4.0394,2.8093,2.2242,1.2972,1.993,3.8847,1.9484,1.393,1.7072,1.6969,1.0302,1.9335,1.3334,2.0461,1.4293,1.5004,2.2054,3.5926,1.1987,1.8943,1.3647,1.2342,2.4492,1.1838,2.7062,1.0281,0.835,2.8078,1.8394,2.423,1.0617,1.6281,2.8678
