gene_name,C3L-02168-Tumor,C3N-04162-Tumor,C3L-01663-Tumor,C3N-02300-Tumor,C3L-00568-Tumor,C3L-02627-Tumor,C3L-00965-Tumor,C3N-03424-Tumor,C3L-02625-Tumor,C3L-02619-Tumor,C3N-02289-Tumor,C3L-01884-Tumor,C3N-01025-Tumor,C3L-02963-Tumor,C3L-02546-Tumor,C3L-02552-Tumor,C3N-02288-Tumor,C3N-03425-Tumor,C3N-01020-Tumor,C3N-01194-Tumor,C3L-02964-Tumor,C3N-02675-Tumor,C3N-02339-Tumor,C3L-03272-Tumor,C3N-03875-Tumor,C3N-03848-Tumor,C3L-02650-Tumor,C3N-03486-Tumor,C3L-00904-Tumor,C3L-02646-Tumor,C3N-02375-Tumor,C3N-00211-Tumor,C3N-02374-Tumor,C3N-03877-Tumor,C3L-01606-Tumor,C3L-01000-Tumor,C3L-04391-Tumor,C3L-00445-Tumor,C3L-02130-Tumor,C3N-03441-Tumor,C3N-02575-Tumor,C3N-03092-Tumor,C3N-03051-Tumor,C3N-03093-Tumor,C3L-02127-Tumor,C3L-02669-Tumor,C3L-00081-Tumor,C3L-03963-Tumor,C3N-02425-Tumor,C3N-01892-Tumor,C3N-01893-Tumor,C3N-00555-Tumor,C3N-03882-Tumor,C3L-03962-Tumor,C3L-02665-Tumor,C3L-00927-Tumor,C3L-04014-Tumor,C3N-03880-Tumor,C3N-01846-Tumor,C3N-03076-Tumor,C3N-02426-Tumor,C3L-01838-Tumor,C3L-03961-Tumor,C3L-03965-Tumor,C3N-03072-Tumor,C3N-00221-Tumor,C3N-04127-Tumor,C3L-00923-Tumor,C3L-02649-Tumor,C3L-02891-Tumor,C3N-03851-Tumor,C3N-03886-Tumor,C3N-03662-Tumor,C3N-02434-Tumor,C3N-02435-Tumor,C3L-04013-Tumor,C3N-04124-Tumor,C3L-02660-Tumor,C3L-02648-Tumor,C3N-02283-Tumor,C3L-02968-Tumor,C3L-01285-Tumor,C3L-00603-Tumor,C3L-02969-Tumor,C3L-00415-Tumor,C3L-01455-Tumor,C3L-00993-Tumor,C3N-00497-Tumor,C3L-03678-Tumor,C3N-00247-Tumor,C3L-02349-Tumor,C3N-04155-Tumor,C3L-02163-Tumor,C3L-02629-Tumor,C3N-02285-Tumor,C3N-02252-Tumor,C3N-01411-Tumor,C3N-01028-Tumor,C3L-02358-Tumor,C3N-02284-Tumor,C3L-02170-Tumor,C3L-02164-Tumor,C3N-02523-Tumor,C3L-04071-Tumor,C3N-02494-Tumor,C3L-02951-Tumor,C3N-03204-Tumor,C3N-01017-Tumor
CCT7,163.6693,179.5902,140.4513,152.6136,134.1693,156.5275,249.211,93.2337,82.4152,101.4454,120.4547,203.4078,334.9238,64.3817,105.2255,79.0665,210.5643,200.5181,143.4896,89.5467,126.9435,95.6619,144.9674,164.3676,163.488,103.3007,90.3531,143.792,114.8499,155.0137,206.612,169.8247,169.2894,302.0535,162.98,106.9061,205.4581,233.1658,106.0448,147.0978,202.9937,120.4126,135.1635,187.7705,209.8479,223.23,273.8012,109.7664,210.095,216.0519,130.9959,147.188,280.2751,307.0817,182.322,190.9656,222.3598,161.8376,268.4766,186.5796,101.5313,103.9217,109.6317,176.0507,269.114,277.3063,111.0094,76.2222,138.239,213.8005,391.9482,169.1896,168.9754,111.8405,147.71,188.9876,142.9031,131.7534,195.6361,426.2842,172.0604,338.0378,247.8055,137.2052,158.8866,90.9734,274.8399,81.6818,198.2192,89.3642,267.0458,352.1464,227.3185,97.5562,113.7665,189.2836,229.4478,134.9371,125.3,155.0132,71.744,67.2397,153.2216,169.1116,116.0954,99.8685,132.685,259.4126
CCT8,71.4567,115.0848,110.8015,114.3458,127.816,69.2597,150.0529,84.6115,85.068,75.1062,68.1024,144.5756,97.9857,51.6021,60.6065,60.422,80.667,144.5077,121.6395,81.0663,107.3283,87.777,64.2708,82.9458,96.419,76.0544,81.9836,91.4133,102.0637,87.9158,83.1692,149.1299,92.3849,176.7531,141.6312,86.5396,102.1384,102.2713,54.6448,117.811,56.195,97.5935,120.3134,94.215,94.3996,79.3244,108.8141,100.767,95.4203,100.3,68.1761,160.7623,119.4582,141.6992,96.0514,152.9444,99.3064,114.1397,100.6177,137.8296,73.1272,81.6621,102.0213,120.1292,136.4823,105.6111,81.4205,77.7899,138.345,83.6461,341.8519,159.6966,84.2745,87.0726,82.74,200.9604,105.7072,83.1195,101.5533,203.6321,68.5717,134.8492,97.3968,76.4539,88.8577,58.4665,92.8182,68.6386,149.2126,80.0904,87.1613,163.9957,92.5707,80.5985,64.5273,118.6362,197.9395,95.9168,80.6812,303.1055,59.668,48.7871,162.9372,88.2722,73.2205,64.9182,225.0398,82.4892
CCT8L2,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0392,0.0301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0404,0.0233,0.0321,0.0,0.0359,0.0,0.0,0.0,0.043,0.0,0.084,0.0,0.0,0.0,0.0265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0372,0.1035,0.0,0.0,0.0,0.0,0.0,0.0329,0.0,0.1261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0646,0.0,0.0,0.0,0.0,0.0339,0.0,0.0,0.0,0.0478,0.0,0.0,0.0413,0.0,0.0,0.0,0.0351,0.0,0.0358,0.0,0.0,0.0,0.0,0.0737,0.0,0.0,0.0,0.0361,0.0
CCZ1,5.5972,10.0553,5.1268,6.5469,4.0923,6.5598,7.4832,1.8993,3.0686,2.2095,6.2349,7.6365,9.4183,3.8945,3.5358,4.1629,7.3911,7.5685,7.9034,2.5091,4.0158,4.8778,8.1175,4.1812,8.9755,6.0852,2.5632,5.862,5.8882,6.9314,4.0473,6.3881,0.791,9.9868,3.2839,3.5843,3.4793,4.2929,2.9824,4.8988,6.4577,9.1891,5.6217,9.8991,4.9168,7.6254,5.4883,5.3923,5.3473,4.9605,4.9965,2.6351,4.0042,5.2952,7.6738,5.58,4.4976,5.7954,8.2745,6.9397,4.8885,4.3783,5.1153,4.6859,10.4508,4.4787,3.6724,3.3599,5.9752,4.8015,5.2156,10.5599,4.0071,3.8078,8.7018,9.4525,6.9009,4.6214,10.7241,8.0971,5.2379,2.9028,3.5435,7.5916,3.8116,2.8723,3.0753,3.6459,4.7904,5.3064,3.8948,6.2585,9.2001,7.0463,2.1691,6.6585,10.2553,5.1034,5.682,5.9918,2.8149,2.4553,6.9881,4.872,5.3885,5.7583,4.5264,8.88
CCZ1B,7.6032,6.9656,6.1295,3.8629,5.7324,4.2733,7.3469,5.7732,5.3416,5.2377,2.9099,7.1069,9.0311,2.9452,4.7299,2.8145,4.651,8.5042,8.2788,3.6057,6.2614,7.7424,6.2315,7.3615,3.1382,4.0447,5.6587,4.2213,2.993,3.747,5.124,3.5499,5.4966,8.3085,8.6528,5.779,6.6359,8.1081,1.5531,7.6372,3.3331,6.6759,5.018,3.6026,5.7592,8.2096,8.2958,4.2784,2.2174,4.9646,7.3018,4.3699,4.0373,13.0981,4.0003,8.0998,8.1997,5.6603,8.551,4.5529,2.6972,3.3716,4.933,8.6112,6.5994,6.537,8.8763,4.5137,5.931,6.0556,13.6021,5.0756,11.517,6.9255,4.1678,10.0711,7.1837,6.9491,15.0227,5.765,3.9022,6.0237,13.4207,7.201,8.6628,3.6854,3.0036,3.3294,6.0335,5.2626,5.798,6.37,4.3444,4.2286,3.4096,3.1871,3.9024,5.0531,4.738,4.6191,3.6062,2.7784,12.6248,6.3782,3.1644,2.0562,5.1866,9.3053
CD101,5.5564,9.4677,8.7327,7.1119,9.546,4.9023,3.9667,8.5743,5.3837,4.2894,2.9645,3.1229,5.2742,1.9444,2.7491,4.137,8.382,9.6564,4.866,1.8623,7.9005,8.4626,3.2694,7.2555,6.5844,5.7135,3.2583,2.7278,3.0726,4.4471,3.4732,3.1574,3.9415,4.6132,8.6819,16.6558,2.3535,7.4728,2.2603,5.8786,5.3063,8.4733,6.6127,8.6557,4.3109,7.0528,3.0585,6.4837,6.4116,5.5375,5.3373,4.8113,1.4796,10.909,5.7857,3.8732,7.7368,4.3884,2.6266,6.5119,6.2715,4.071,5.9896,9.2277,5.2334,3.7387,3.7527,6.1577,3.9355,5.8375,2.1565,2.2727,8.1578,2.5957,5.0826,4.769,7.4579,6.538,3.2248,4.6212,8.3493,1.2569,4.9871,8.509,2.7913,3.6841,1.7989,3.5311,3.6253,3.8825,4.9124,1.4671,10.2978,3.4795,8.4881,7.3946,2.3494,3.9304,4.5618,2.8906,3.1431,4.4933,14.4766,14.4879,6.4475,5.5218,2.2949,9.4703
CD109,80.504,62.5146,44.1074,50.1739,89.146,115.437,21.9208,25.4729,38.9629,41.8893,36.8526,145.5035,206.6813,23.2028,42.8886,29.6664,191.1836,59.3503,9.2036,14.1714,34.2432,30.1022,45.2874,115.7968,25.7667,62.1652,57.3223,6.9059,80.2275,162.5195,24.609,150.0768,43.2056,219.8889,64.3977,9.242,108.4143,36.843,32.546,37.7479,20.0591,19.1835,85.1975,40.1912,58.4434,128.9673,81.3978,22.3402,27.9031,76.1951,37.6022,17.519,19.9222,112.2302,28.7196,80.7214,30.5912,32.1633,92.721,16.8636,57.9246,100.5886,84.1139,162.2657,98.264,54.9631,28.0889,19.2497,8.303,19.4659,11.9974,11.1371,186.4704,103.7926,42.9603,2.9725,74.2443,42.5357,88.9722,4.8338,50.0132,19.8414,25.9864,73.805,24.1093,28.9245,16.2817,7.8233,41.4244,29.4281,9.4406,28.8977,65.6404,26.08,92.5708,63.1676,45.6857,86.3823,128.9265,55.921,24.752,10.456,100.0328,71.7391,108.1052,30.3414,49.8202,175.3292
CD14,180.8217,55.4256,234.9653,143.4142,234.3591,83.3408,88.7259,140.0622,102.5431,129.7814,283.4737,77.5879,56.971,111.0829,139.7444,179.6938,283.1093,162.8465,391.6958,98.2336,132.4287,198.9564,248.4737,72.0824,77.5535,181.6288,170.7403,111.1044,80.0734,119.7172,67.0596,188.0645,113.6834,100.6495,148.6703,87.1172,245.9607,115.6011,84.3842,183.4164,59.7816,282.2862,123.1967,284.1311,178.0722,186.8653,162.6234,172.8004,80.5616,219.0456,189.7543,83.3219,40.1233,78.7364,153.0361,156.9884,133.5939,91.4524,165.4771,135.8763,214.3993,160.1096,191.6595,92.9389,64.9378,98.821,208.2788,112.8629,93.8425,154.5786,91.4303,32.7772,92.2807,78.2255,81.0643,60.4689,138.3161,141.8688,100.4729,19.5718,177.1195,50.3903,90.6906,186.5389,115.3908,175.7137,48.873,143.915,105.5912,314.3237,139.5603,84.3179,84.3056,131.9242,144.9576,125.7111,68.9423,138.2427,81.0359,42.8933,141.7624,143.8817,151.0432,168.8694,95.0018,217.2162,65.7751,40.625
CD151,58.5321,32.3389,61.786,108.3829,44.6375,118.3166,69.4678,83.2766,36.0686,55.3579,126.7379,56.4836,21.4709,46.3791,50.4432,113.9708,53.4061,53.1981,48.391,52.0633,42.258,70.1971,118.8942,37.2982,65.1551,104.9915,69.2685,90.215,78.6061,47.3052,82.5767,87.456,89.5828,97.664,66.5711,58.9316,101.2307,66.8836,42.3787,70.3669,85.046,130.5169,70.2239,123.1425,64.2496,60.9215,84.2971,51.5898,62.2332,75.3305,127.3887,42.0079,29.784,46.9884,176.1115,54.9619,75.0297,31.0366,49.4977,69.3287,187.8909,120.6203,51.929,65.3423,52.5755,54.9926,100.2925,53.9056,82.4589,61.1421,49.0082,50.9523,74.3928,70.9701,97.3822,84.217,48.1912,88.5083,81.0189,31.3391,72.3713,24.7361,46.3981,41.2952,50.1443,72.1917,51.5255,39.3986,99.0057,84.8186,48.5651,84.8301,90.2091,96.6433,93.5883,70.523,59.7791,45.1346,86.7268,34.8018,53.6889,51.3758,93.7705,56.1225,34.5722,80.7642,58.0066,65.2938
CD160,1.6839,2.1774,4.1514,2.2481,2.3957,2.6792,1.5983,1.5143,3.3655,0.9012,1.8734,1.4035,1.7779,0.6332,2.4253,1.4124,1.7443,1.8112,2.8181,2.0742,1.8612,5.6395,2.2234,2.2497,2.0958,2.7539,1.5221,1.1975,1.7097,3.0727,1.4881,1.2143,1.1507,2.6735,3.0723,3.3955,1.0786,2.3244,0.9805,2.9001,0.9112,2.5549,1.1605,3.9814,2.1796,4.5474,1.4204,1.6333,1.9527,1.7441,1.1145,0.8096,0.5971,3.4879,2.4286,1.3167,3.2158,2.4834,2.5798,2.7741,2.4676,0.773,1.6221,2.2731,1.8552,1.9072,0.6898,1.9957,3.7388,2.1316,2.21,8.0767,1.8861,1.8081,3.7111,7.7252,2.2844,1.8383,1.2844,3.4835,1.4528,1.1631,2.1656,3.8884,1.4245,1.8105,0.8601,3.417,1.9581,2.5219,2.0898,0.9643,1.9638,3.3542,2.2086,3.2186,2.0949,2.2659,2.1503,2.1309,1.376,1.2708,2.5808,3.5079,1.648,0.7152,1.7623,2.5032
