Index,AO-A12D,C8-A131,AO-A12B,E2-A10A.notinstudy,BH-A18Q,C8-A130,C8-A138,E2-A154,BH-A0BZ.notinstudy,A8-A09I.notinstudy,C8-A12L,A2-A0EX,AO-A12D.REP2,AN-A04A.REP1,BH-A0AV.REP1,AO-A12D.REP1,AN-A04A,BH-A0AV,A2-A0D0.notinstudy,BH-A0HK.notinstudy,C8-A12T,A8-A06Z,A2-A0D1.notinstudy,A2-A0CM,BH-A18U,A2-A0YI.notinstudy,A2-A0EQ,AR-A0TY.notinstudy,AR-A0U4,BH-A0HP.notinstudy,BH-A0EE.notinstudy,AO-A0J9,BH-A0E0.notinstudy,AR-A1AP,AN-A0FK,AO-A0J6,BH-A18V.notinstudy,A7-A13F,BH-A0E1,A7-A0CE,BH-A0C0.notinstudy,A2-A0YC,AO-A0JC,A8-A08Z,AR-A0TX,D8-A13Y.notinstudy,A8-A076,AO-A126,C8-A12P.notinstudy,BH-A0C1,A2-A0EY,AR-A1AW,AR-A1AV,C8-A135,A2-A0EV,AN-A0AM,D8-A142,AN-A0FL,BH-A0DG,AN-A0AS.notinstudy,AR-A0TV,C8-A12Z,AO-A0JJ,AO-A0JE,A2-A0T2.notinstudy,AN-A0AJ,A7-A0CJ,AO-A12F,A2-A0YL.notinstudy,A2-A0T7.notinstudy,C8-A12Q.notinstudy,A8-A079,E2-A159.notinstudy,A2-A0T3,A2-A0YD,AR-A0TR,AO-A03O,BH-A18R.notinstudy,AO-A12E,A8-A06N,A2-A0T1.notinstudy,A2-A0YG,E2-A150.notinstudy,BH-A18N,A7-A0CD.notinstudy,C8-A12W.notinstudy,AN-A0AL,A2-A0T6,E2-A158,E2-A15A,AO-A0JM,C8-A12V,A8-A08G.notinstudy,A2-A0D2,C8-A12U,AR-A1AS,A8-A09G,C8-A131.REP1,C8-A134,A2-A0YF,BH-A0DD,BH-A0E9,AR-A0TT,AR-A1AQ.notinstudy,AO-A12B.REP1,A2-A0SW,AO-A0JL,BH-A0BV,A2-A0YM,BH-A0C7,A2-A0SX
A1BG,0.685808556,0.848160243,0.601844897,0.479691909,0.90544161,1.331175056,0.598386169,1.156889682,0.943458874,0.693792596,0.748073151,0.85421226,0.680752947,0.54386199,1.661979208,0.59384954,0.516688842,1.984645618,0.623616974,0.992044705,1.010245796,0.369667295,1.231063484,1.020396744,1.129690883,0.246387815,1.056689804,1.008312059,1.261556503,1.346403717,1.061553654,0.794611446,0.317802471,1.006745813,1.235143575,0.620563541,0.726366431,1.081734003,1.638256095,1.264547648,0.75983105,1.202792919,0.719594218,1.099153013,1.394563267,0.340755334,0.603536546,1.047227852,0.472798884,2.08633254,1.645167771,0.867975581,0.246879532,1.21778415,1.034827665,0.844332422,1.164892817,0.908773128,0.875989224,1.303165543,0.631829882,1.07684586,1.318264745,1.335526492,0.919427773,0.685665794,0.755231211,0.959897489,0.712217967,0.530359609,0.669512773,0.91734865,0.467717905,0.941365606,1.277992991,0.439977301,0.855983095,0.651891196,1.262681627,1.202802313,1.115867684,1.340376105,0.876302192,1.253491906,0.511729618,0.293300408,1.099362608,1.109758175,0.582869332,0.779892134,1.06634677,1.569816183,0.534121072,0.926576045,0.970141687,0.986426007,1.067906163,0.799539053,1.125586431,1.209545514,0.630607993,1.678339487,0.673144682,0.549359215,0.559490538,1.273314991,1.178943691,1.881437192,1.876774053,0.927859168,1.538959891
A2M,0.558675905,1.149558845,0.532373261,0.702624558,0.887916754,0.786734756,0.573314343,0.957829365,1.03044587,0.602351203,0.718395534,0.869941447,0.543834141,0.719047646,1.539184185,0.534258563,0.739738078,1.538590155,0.632244084,0.728071661,0.827411991,0.491712061,1.26597082,1.100968728,0.961893889,0.651408169,1.115223523,0.667442686,1.537588577,0.978050694,1.077385801,0.468970248,0.473694822,2.325871981,0.610800872,0.512061323,0.670837785,0.504125754,1.210577607,1.526959219,1.025379368,0.714270454,0.644124655,1.378157927,1.512270022,0.29431659,0.643082345,0.550084822,0.372089614,2.22138612,1.852855484,0.876759236,0.207569971,1.042960523,1.001803348,0.600802806,0.996250808,0.808723798,0.77159063,1.065927631,0.679910391,1.157109029,0.807391742,1.194373567,0.976086403,0.632118155,0.42812752,1.698100206,0.562298345,0.487201773,0.981568551,1.113057421,0.394724479,0.583447185,0.918627499,0.271227549,0.64187652,0.67637852,1.207365327,0.951427632,0.685846123,1.692712408,0.909483898,0.823307022,0.453053201,0.25537215,1.357103547,0.580430207,0.542691478,0.98598102,0.913247758,2.434477321,0.496067285,0.878162116,1.027973106,0.806581781,0.664206688,1.103024553,1.206003193,1.740942391,0.311344247,1.244365209,0.547262454,0.522680252,0.481886881,1.251971226,1.130825342,1.167990422,3.579648763,0.655056767,1.96032739
A2ML1,0.652800454,1.738479086,0.657201116,0.311650212,1.270407427,0.732413826,0.59775755,0.16742642,0.154941368,0.403808879,3.959064481,0.782560595,0.630838992,0.456068444,1.104301657,0.546917717,0.417099567,0.875151553,0.060419748,0.099603262,0.24134818,0.495156086,0.423764409,3.457654644,0.55609161,0.17051331,0.680750659,0.166641324,2.064922891,0.322227253,2.820222419,0.496528984,0.630804926,0.493706166,0.278063571,0.0915191,1.174840646,0.540783667,0.591388945,0.748322673,0.195688937,0.614571369,0.521913049,0.706637515,0.397403964,NA,NA,NA,0.541139265,6.547721042,1.448450361,0.636362043,0.366780466,1.184809237,0.316339354,0.3401104,1.104472501,0.304350068,0.424946174,0.080212287,0.413837572,0.375996962,0.465344263,0.412031723,0.909098139,0.513253169,0.55164996,2.382200149,0.271967101,0.196507962,0.2457152,0.361547002,2.275351897,0.691253569,0.508714558,0.441896985,0.620558179,0.164009342,0.482691184,0.710404962,0.687989695,0.404631867,1.363130413,0.514677933,0.158139733,0.254680188,0.559911426,0.606434415,7.284689335,1.137098258,0.591213161,0.832387138,0.319333286,0.450629982,0.492853165,0.479294544,0.490141385,1.558297898,1.653844207,0.352565433,0.476237724,0.389874479,0.424693489,0.486157314,0.379514721,0.334298746,0.601884861,0.363303235,1.094922851,0.286534552,1.342324316
A4GALT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.424049636,0.011357678,0.263121378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.973514439,0.909678732,0.111888383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.937871255,0.982035559,1.750033247,NA,NA,NA
A6NNC1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.745035535,2.235760335,0.232751656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A8MTW9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.490782017,0.140573869,1.691726359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AAAS,0.956182281,0.942172165,0.684285385,0.75323824,0.925337494,1.051618127,0.836942501,0.921480957,0.65754342,0.656068994,1.134148289,0.88211513,0.890586182,0.656912766,0.763961896,0.902039831,0.742289765,0.823895404,0.891594615,0.59560172,0.889088631,0.485521454,0.800984499,1.28974822,0.915966205,0.282270407,1.180348632,0.66553732,0.800269055,0.453832406,0.674418615,0.614894671,0.374174737,0.993011569,0.841798197,0.233946951,0.983779773,1.445040931,0.803549735,1.123645545,0.813799637,1.11899992,0.994682449,1.139909226,0.519063329,0.613300877,1.17180925,1.134147634,0.665470318,2.832955301,1.253733857,1.392029985,0.446365027,0.797622367,0.632621629,1.062863271,0.927662481,0.976467258,0.975840647,0.51792063,0.891595244,0.93523208,0.88861852,0.87776455,1.079159446,0.901880402,1.058163556,0.977225167,0.588523395,0.576368589,0.87561421,1.062098578,0.510081186,0.969614484,0.629106381,1.503814397,1.147255285,0.550799769,0.934499677,0.803259397,0.655976778,0.819032511,0.700584853,1.084164968,0.413784673,0.538093322,0.994242542,0.740959919,1.425748987,0.994763151,1.258751302,0.978401966,0.773146145,1.154643147,0.877911431,1.18231517,1.020118882,0.870231573,1.042159395,0.759479219,1.151337361,0.630581475,0.647207993,0.786622422,0.735447747,0.708198223,0.646546274,0.915197671,0.471101303,0.539289687,0.794436935
AACS,1.385751376,1.040208792,0.871221376,0.213510108,0.564978218,0.811835766,1.079314647,0.509562398,0.258782968,0.477422713,1.177156531,0.707331834,1.38796864,0.746441434,0.436397248,1.534658667,0.784744029,0.445822182,0.329525572,0.252496934,0.712120741,0.631354828,0.232485914,0.630252113,0.792575444,0.161898093,1.19913878,0.559797459,0.782225362,0.447541886,0.216876574,0.622973062,0.288105588,1.123506751,0.50479931,0.160103711,0.539973826,1.035035684,0.851867764,0.71190868,0.657459947,0.677880732,0.990389848,0.816098558,0.432116263,0.325382177,1.408751418,1.512354466,0.626737132,2.941125128,1.289466306,0.896646225,0.393732676,0.691992109,0.44666788,0.73479019,0.928796483,1.743301652,0.82545295,0.497083046,0.743851325,0.454633972,0.559875015,0.821997808,0.907511676,0.501815026,1.216498466,0.824363311,0.639905552,0.513985372,1.287876131,0.765306716,0.142127079,0.599741796,0.403743374,1.24311355,0.679389064,0.365308559,1.787218158,0.670655913,0.190447353,1.011050242,0.384559078,0.654749551,0.138569696,0.348017445,1.954647052,0.6015334,0.821728882,1.047835703,0.826646166,0.891351354,0.553576203,0.548789548,0.920982845,1.056888351,0.774336374,0.995638115,0.968964854,0.630249693,0.484112839,0.439477229,0.58079499,0.237286275,0.864907005,0.517407959,0.473328625,0.653865215,0.405564583,0.351935664,0.444475152
AADAC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.889532106,0.713133207,0.210127069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AADAT,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.499068704,1.519609032,0.791629516,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.56374347,1.388946281,1.304408384,0.866784904,0.38662868,1.000400068,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.94565818,3.269320385,1.185915986,1.126761186,0.571641829,1.882348908,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.422085391,0.731546143,0.760637791,0.95626956,2.052414767,0.596389405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.357650304,2.178494103,1.323347244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.390783278,1.675722736,0.703871367,NA,NA,NA,NA,NA,NA
AAGAB,0.70578361,0.780091196,0.929591649,1.177252314,0.674547944,1.312617678,0.911836596,0.934058554,0.876271463,1.368546895,0.786093212,0.891874126,0.571170502,1.002047464,0.628825817,0.60690693,1.009194025,0.589636079,0.577448102,0.442698173,1.172665874,0.725877637,0.903099342,0.917253354,1.102915152,0.377237986,1.190280753,0.933790336,0.829863213,0.506305718,0.58568858,0.528280185,0.70281084,1.160693098,0.70737406,0.165868132,0.758989113,1.725344297,0.814382251,0.883374192,1.209563075,1.122454101,1.033766852,0.882443039,0.475059651,0.555058341,1.048448688,1.00118454,0.895284571,2.204231746,1.01805105,0.897479274,0.362128107,0.670532961,0.630925334,1.289042632,0.726313386,0.415030295,1.17435541,0.570528798,0.904985515,0.847531586,0.999916122,0.830524102,1.077032318,0.883154776,0.691796021,0.716823014,0.643051387,0.384103573,0.796222988,1.073859992,0.536204579,0.725532836,0.717921534,0.980554284,1.040466669,1.072374612,1.823497426,0.736272435,0.713529317,0.954316117,0.51858549,1.28948745,0.456220025,0.92875908,1.064196271,0.587910297,0.748088841,1.359872492,1.551147354,0.622569443,0.694278343,0.769844908,1.075379049,1.377891581,1.104038361,0.652204763,1.189107363,0.777405329,1.285286487,0.54312931,0.742719148,0.625803932,0.925385268,0.607105439,0.61442593,1.327716589,0.397543881,0.705467415,0.573902049
AAK1,0.858050189,1.085685459,0.973369991,0.54637248,0.931166207,1.236677251,0.84537931,0.844735571,0.719708559,0.656280484,0.778248917,1.001233406,0.896951359,0.977219445,0.84267611,0.828219931,0.976862208,0.839918912,0.440671368,0.486475984,0.842220331,0.739630068,0.582977244,1.177829968,0.965680386,0.269419958,1.170214045,0.333578778,0.757406065,0.434610178,0.468296654,0.648869197,0.348939871,1.157521112,0.782782953,0.212796895,0.771450283,1.07341696,0.932416124,0.957757278,0.835341629,1.152134758,0.889585224,0.902110133,0.545475363,0.372307568,1.043198125,0.987942777,0.724630608,3.345008103,1.330738076,1.70335757,0.502129506,0.802964228,0.794199472,1.103978931,1.095448515,0.66788021,1.120608587,0.608686928,1.124046006,0.70702398,1.237162271,0.928660581,0.846021439,0.837315857,1.162443134,0.838189992,0.585506841,0.467643917,0.814027369,0.973355295,0.369631362,1.061163152,0.736173784,1.12422205,1.222974734,0.428162028,0.914805877,0.716105215,0.568459505,0.732092115,0.613020965,1.232300573,0.290653554,0.388054794,0.98647878,0.744604998,1.328032883,1.006845173,1.212941934,1.074011459,0.629861844,0.836658513,0.884879867,1.234689637,0.778691914,1.053712168,1.378677296,0.86588598,0.908654607,0.660197704,0.718411332,0.378453747,0.891503069,0.894947992,0.815257661,1.209759345,0.723886986,0.581812799,0.999798599
AAMDC,0.692976563,0.723118444,0.589125854,0.063028855,0.635886439,1.135130276,0.756158461,0.631472203,0.071271095,0.12625516,0.926477286,1.086889415,0.758623565,0.437548403,0.556061499,0.659660159,0.357260763,0.542206451,0.091997625,0.2162613,0.646361222,0.749318076,0.135522514,0.977207464,0.727494173,0.078749579,1.814036983,0.039036325,0.609737371,0.109271156,0.070764261,0.725166232,0.077200986,1.844173414,0.736727033,0.246615454,0.30710489,1.127371392,0.674942948,0.704556907,0.23482074,1.02953968,1.093655681,0.896988169,0.395462623,0.114740842,0.976699291,1.958368205,0.166929186,2.858971739,1.00604246,0.82902588,0.15627022,0.490315517,0.606824379,0.779278037,0.800567324,0.885304531,2.001609045,0.225299222,1.742076681,0.273998629,1.525428606,0.989383255,0.309843629,0.540260956,0.937282172,0.659211318,0.083990969,0.150744251,0.359234671,3.405820176,0.03814284,0.801954721,0.299652418,1.4498361,0.930940481,0.364383497,1.473853322,0.597233612,0.125333495,0.525869651,0.061579943,1.045821919,0.057606704,0.092332238,0.944908669,0.831212194,1.762784695,1.620485984,0.685772083,0.590154472,0.089942481,0.499544851,0.587483995,0.906124311,0.4299764,0.818694919,0.868699694,0.616471036,0.458545769,0.270132096,0.354958536,0.070653556,0.546382157,1.374935939,0.926312153,1.567387729,1.030922835,0.465249863,1.337516812
AAMP,0.587214027,0.836723992,0.83411397,0.475110416,0.726241384,1.174603542,1.086267959,0.766874916,0.179134987,0.59865638,0.596939796,0.907074566,0.585080128,0.793643045,0.525555352,0.543721797,0.829320318,0.589234665,0.222007481,0.375693065,0.947608151,0.606676093,0.826960685,0.933816542,0.985128342,0.255686733,0.878275961,0.643225495,1.076054932,0.560651195,0.412939778,0.615066587,0.132239554,1.129604928,0.559466448,0.216493524,0.578295821,1.522915292,0.860383172,0.709644765,0.688609661,1.057675687,1.016700181,1.128498794,0.498400379,0.841608595,1.327189491,1.106015304,0.40632743,2.694184226,1.038960717,1.247798626,0.507539003,0.930451867,0.470379408,1.187245963,0.622550052,1.362078448,1.125432738,0.608841858,0.743741502,0.919115503,0.972164205,0.946474604,0.4996553,1.230135208,0.664149154,1.32006057,0.154495363,0.35893381,0.322906239,1.404863004,0.104313462,0.900999554,0.304288511,1.124291154,1.681822454,0.258599565,1.091674633,0.962539123,0.650101347,0.764783716,0.284874421,0.770362807,0.525045084,0.339236619,1.276143872,0.557513897,0.867711556,1.178483282,1.063074468,0.827990523,0.192274189,0.696653135,1.381975231,0.985831734,0.499238188,0.958126902,1.323029825,0.763701753,0.562443719,0.586721472,0.697614642,0.162051081,0.746184604,0.745148244,0.713289622,0.868032202,0.606791931,0.384165004,0.856232833
AAR2,0.709658925,0.90569043,0.791461952,0.807945636,0.797817747,1.161813227,1.102071288,0.85418669,0.800035505,0.885521495,0.943973834,0.922709912,0.723636076,0.948013065,0.69230149,0.760230395,0.793027635,0.691330784,0.795767131,0.492739563,1.041630047,0.840363521,0.725856693,1.36724615,1.067253447,0.374060284,1.135041042,0.723124504,0.741896312,0.437834976,0.425477507,0.600527877,0.509571473,0.992268638,0.730893067,0.215774495,0.703790011,1.210812885,0.721415,0.98793569,0.924640245,0.917312866,0.941709794,0.909856217,0.595378221,0.559922559,1.112196297,0.951953574,0.863249539,3.187286122,1.198702616,1.229470449,0.535566089,0.757510749,0.598363167,1.152931863,0.888344872,0.859220164,0.916530733,0.715449227,1.080585567,0.698671998,0.832313662,0.927767945,0.922515672,1.17491709,1.115070193,1.181020673,0.689848659,0.611486669,0.721532248,1.384325893,0.676645257,0.96998496,0.790159914,0.986747367,1.13503179,0.667131456,1.145716634,0.910670198,0.636381438,0.937928788,0.6945043,1.313088246,0.441385301,0.875025594,0.971650127,0.496134426,0.888392961,1.148725657,1.250535592,1.138963267,0.890514572,1.042294509,1.172730495,0.923645353,0.956703597,0.806595571,0.966958909,0.808727916,1.263748568,0.647044424,0.656721017,0.739914255,0.77264031,0.710179797,0.864802237,0.800609223,0.675122184,0.635132198,0.740336056
AARD,0.669108424,1.130541434,1.153606189,0.646645141,1.154830855,1.030598204,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.811748559,1.606052181,0.507225486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.863855002,0.68189012,1.013688744,NA,NA,NA,NA,NA,NA,0.772911348,0.945301606,0.811474883,NA,NA,NA,3.201755487,0.450549214,0.810500143,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.491696549,1.6714136,0.708040812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.110570661,0.689655107,0.737006879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AARS1,0.976628478,0.847310051,0.715639108,0.423338408,1.210234679,1.188693061,0.712933369,0.69809303,0.573119221,0.836841093,0.945633434,0.819857614,0.950079952,1.264740903,0.708801255,0.961117281,1.266337373,0.718635977,0.439112094,0.319921675,1.040012293,0.600569159,0.578919719,1.238761292,1.084749095,0.220823354,1.595930434,0.655935098,1.017947284,0.382178068,0.419535525,0.614726501,0.301845184,0.962195216,0.612333078,0.164849138,1.533649243,1.254145161,0.72461571,1.356379801,0.812479629,0.972372303,0.745759727,0.846880715,0.47284391,0.489232004,1.057852366,0.902586504,0.703815128,4.118986906,1.391342814,1.138916351,0.405164827,0.855144011,0.600890156,1.410707116,0.915256406,1.102638726,1.121761934,0.537677412,0.950955459,0.597958694,0.835343318,0.816396875,0.704674444,0.868114691,0.978983284,1.711174132,0.356116645,0.409635709,0.908705014,0.910561593,0.402279038,0.77664615,0.535479466,1.009105642,1.102745622,0.707128083,0.860272795,0.631211701,0.523751766,1.149623136,0.552860492,0.896214089,0.235643257,0.691314522,1.308177532,0.539629544,1.251594596,1.140260768,1.287075827,0.840969974,0.563876531,1.280820125,1.006386613,1.149767814,0.571210103,0.809852603,1.418195773,0.685213229,0.843452768,0.551867346,0.665697083,0.641834344,0.726950638,0.949094597,0.958113831,0.954151735,0.544942456,0.586052791,0.798048393
AARS2,0.975773643,0.858363006,1.469535963,0.427392747,0.99174052,1.166024551,0.906383324,0.837860565,0.419671835,0.498025393,0.718461838,0.830522005,1.114580629,0.607116406,0.55005525,1.047380541,0.542939318,0.576835328,0.395100923,0.435296646,0.791531831,0.628561453,0.291633286,1.080386442,0.807104696,0.229331331,0.967155525,0.174094005,1.046817994,0.287444745,0.357352149,0.780976662,0.227861452,0.76515085,0.937823882,0.198588137,0.754994132,1.111739257,0.711924655,1.065189455,0.57372974,1.248482699,0.935393032,0.940294596,0.454532283,0.413187451,0.904831382,1.151812684,0.369869552,3.583593736,1.019109802,1.505662061,0.453518659,0.743467476,0.744770731,0.864882607,1.191944072,1.126911182,0.739621834,0.343008953,1.086257794,0.461607232,0.845098185,0.830069705,0.776208817,1.153158244,1.10229098,1.358973609,0.284159558,0.188367779,0.421707678,0.885366901,0.288219765,1.117048641,0.50836464,1.636419001,0.935576449,0.303853585,1.15860269,0.92872866,0.275129234,0.697777576,1.065478736,1.130770817,0.195411409,0.227315538,1.087525749,0.635352344,1.676153921,1.030386575,1.279195179,1.052449116,0.507172107,0.898781048,0.927430094,1.167031128,0.879586287,0.815796511,1.271739574,0.776834478,1.04665515,0.643471066,0.624058275,0.346515488,1.25864967,0.878173735,0.790102133,1.001507123,0.52241257,0.696299345,0.716317777
AARSD1,0.695815972,0.888693324,1.151791094,0.513551246,0.653033464,1.35854423,0.728351609,0.757822951,0.482190594,0.500369145,0.916954556,1.083487907,0.612325917,0.927602694,0.709764565,0.705405147,0.975158932,0.719376956,0.349832276,0.507935736,0.854331232,0.672326915,0.542518224,1.049738997,0.872901214,0.259868457,0.891605219,0.245638249,0.766117034,0.327357091,0.369330238,0.671896684,0.344850867,0.775160527,0.670343908,0.220946672,0.637945745,1.441084245,0.852796999,1.042802349,0.638116599,1.452986427,1.326290017,1.044307566,0.47248507,0.38458864,0.916467837,1.06670274,0.621479664,2.379417398,1.101721062,1.412127434,0.409930219,0.786050453,0.790253545,0.913486883,0.834250148,0.697501928,0.972216851,0.475341086,0.88282313,0.662214292,1.02293189,1.040007891,0.597562667,0.646954359,0.96611792,0.944470367,0.467365737,0.297999211,0.531951382,0.913143283,0.222726066,0.767948607,0.59283231,1.411954264,1.071731082,0.313889649,1.0908527,0.877676033,0.344352959,0.725114214,0.368256245,1.166333219,0.22432505,0.443942718,0.838309899,0.67776633,0.72029978,0.74242773,1.177583138,0.768514877,0.343459599,0.720098831,0.79231888,1.09729469,1.21330386,0.911461029,0.937171548,0.875039384,0.819575192,0.614975429,0.564423311,0.435246943,1.250468377,0.784201798,0.769347577,0.852152585,0.574553521,0.653881655,0.785798946
AASDH,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.669452068,0.69713632,0.98074322,0.668986547,0.090140343,1.402604622,NA,NA,NA,NA,NA,NA,1.006889894,0.504666309,0.329346287,NA,NA,NA,2.119304098,2.281719094,3.140712818,NA,NA,NA,NA,NA,NA,0.810085857,1.369116998,0.800322827,1.551687898,0.242856684,0.508174554,NA,NA,NA,NA,NA,NA,2.03525958,0.173882262,1.204695699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.844168928,0.661447865,0.666334195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.589989192,1.222486874,0.855876142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AASDHPPT,0.844308769,0.944300347,1.156976274,0.751168343,0.996900795,0.862541359,0.979960547,1.090865324,0.607900326,0.763475572,1.108289558,1.008097129,0.995588309,0.709367184,0.616098047,0.964577229,0.594869229,0.638952432,1.064591643,0.510396882,0.932307169,0.384600993,0.746392092,1.327905653,1.595080764,0.211804212,1.059581509,0.463342745,0.874984584,0.418478142,0.646538129,0.764636496,0.386454694,0.824137316,1.172857635,0.204431613,0.702992048,1.150529731,0.804838408,0.889792044,1.413294549,0.992191683,1.096163691,1.265780153,0.65431096,0.382774953,1.642001106,0.815372993,0.57166879,4.130925914,1.596725357,1.374329516,0.345085981,0.943097737,0.807007202,1.218023463,0.98594909,1.04013113,0.834854357,0.634083111,0.667422462,0.973479536,0.946159147,0.775233065,0.897825137,0.785187449,1.092282947,0.914292326,0.478854649,0.496424951,0.737965813,1.121111033,0.386386419,1.004163519,0.825858348,1.501110623,0.738590328,0.734627039,1.150309085,0.751642959,0.54939087,0.759793587,0.770080641,1.237960082,0.224848524,0.377270697,1.072730812,0.733811744,1.168373283,1.199737275,1.279325209,0.896460342,0.494503305,1.172560824,0.982799819,1.320586848,0.775280802,0.872545627,1.174425032,0.907133904,0.872381117,0.542468094,0.76951957,1.338789237,0.988138708,1.540804424,0.75395584,0.860447914,0.543565557,0.569837585,0.891623519
AASS,0.630395783,0.78290869,0.652610028,1.554776108,0.886916488,0.850833794,0.65548316,1.052696157,0.837614362,0.41598508,0.719407684,1.142056495,0.726979071,0.728943946,0.955089909,0.773493188,0.794964758,0.944585353,0.300848664,0.429822836,0.824527375,0.460653086,0.476357372,0.901738783,0.916475981,0.387167404,1.121081289,0.671029028,1.308496297,0.793896292,0.240414491,0.852397403,0.178228159,1.017801318,0.648518407,0.351255241,0.734794504,0.941997536,1.139279699,0.824674065,0.614938132,1.196949686,1.465315422,1.304127407,0.886542239,0.38926325,0.841798498,1.679198506,0.551289548,3.142474644,1.093982675,1.609955147,0.47260702,0.923808122,0.871178986,1.216490944,0.835814062,1.795411507,1.04460233,0.519973804,0.618373482,0.758451116,1.42594141,1.29976985,0.538155625,0.651187125,1.007230572,1.101063721,0.740283335,0.323199818,0.719066002,0.71565411,0.207376133,1.143213194,0.738557214,0.843000568,0.929449305,0.734557413,1.360234384,1.116861834,0.286115783,0.656718535,0.351750112,2.653239764,0.738158308,0.556914517,0.803113591,1.186732411,0.830014861,0.882670418,1.169724363,1.71985014,0.725023163,0.889441714,0.841212263,1.18013347,0.573938728,0.916227665,0.817177614,1.115544622,0.758131853,1.088410452,0.530359813,0.772266491,0.663407508,0.881401329,0.825463687,1.072793707,1.2629612,0.708442674,1.220192699
