gene_name,BH-A0E9,AN-A04A,AN-A0AJ,AR-A1AV,A2-A0EX,BH-A18N,AO-A126,A2-A0EY,AR-A1AW,C8-A135,AO-A12B,C8-A134,A2-A0SW,AN-A0AL,AR-A1AP,C8-A130,C8-A12U,C8-A12T,C8-A131,AO-A12F,AN-A0AM,AR-A1AS,AO-A12D,C8-A12V,D8-A142,AO-A12E,A2-A0T3,AR-A0TT,A8-A076,A2-A0YC,A2-A0CM,AO-A0J9,AN-A0FL,AO-A0JM,A7-A0CE,A8-A08Z,AR-A0TV,AO-A0JL,AN-A0FK,A2-A0YD,AR-A0TR,E2-A15A,A7-A13F,BH-A0AV,A2-A0T6,A2-A0YG,E2-A154,AR-A0U4,A2-A0YF,AO-A0JJ,BH-A0BV,AO-A03O,E2-A158,A8-A06Z,A8-A06N,AO-A0JE,BH-A0C1,A2-A0YM,A8-A079,AO-A0J6,A7-A0CJ,AR-A0TX,A8-A09G,AO-A0JC,BH-A0C7,A2-A0EQ,C8-A12Z,BH-A18Q,C8-A12L,BH-A0E1,BH-A0DD,A2-A0D2,C8-A138,A2-A0EV,BH-A0DG,BH-A18U,A2-A0SX
FBXO47,0.0295,0,0,0,0,0.0307,0,0,0.0196,0,0,0.0717,0,0.1265,0,0,0.1175,0,0,0.0886,0.0215,0.0383,0,0.0532,0.0344,0,0.0541,0,0.0462,0,0.0347,0.0272,0.1318,0,0,0.1208,0,0.0589,0,0,0.0274,0,0.0302,0.1057,0.0806,0,0,0,0,0,0,0,0.0473,0.1134,0,0,0,0,0,0,0,0.0259,0.0211,0,0.0939,0,7.7707,0.178,0,0,0.0333,0,0,0.0525,0,0.3972,0.2945
FBXO48,3.2055,1.1078,3.213,3.5375,1.8774,2.3188,2.1269,5.7076,3.6781,2.2214,1.4779,6.9259,1.625,1.2575,2.6535,3.6481,5.0939,1.9734,2.583,3.508,1.7195,1.8114,2.7181,3.3119,2.6516,2.6925,4.4138,1.849,1.598,1.4325,3.3378,1.482,1.1269,1.0737,2.4818,5.468,5.0713,1.7208,0.8333,1.4643,2.73,2.5773,2.663,2.1674,3.3328,2.0666,2.2844,1.7539,2.8268,2.8846,2.9821,1.8414,4.1317,2.3107,4.3381,2.4168,1.9926,3.3927,1.9913,3.7165,3.7241,3.8049,1.9605,4.9762,6.031,1.8866,2.9742,4.4165,3.1387,2.1127,6.271,1.2484,1.5419,1.8261,2.2522,3.6277,3.5611
FBXO5,6.6397,6.588,38.0031,8.0982,5.3245,8.4304,4.5145,11.0443,11.6338,14.1985,9.2067,16.6498,7.7753,12.2393,8.0943,17.0267,15.5835,18.1411,10.6426,18.9136,9.7032,9.9763,7.0424,9.9644,9.0073,8.2454,17.8262,13.1622,12.6098,7.3064,26.863,2.7177,4.341,10.5128,18.6786,11.9779,17.0578,3.0355,9.7391,6.7741,4.7863,18.6449,7.9617,16.6636,4.8295,22.7714,9.8309,17.1395,13.6719,6.7127,7.583,22.3253,9.2022,7.5946,5.6279,10.2363,13.0909,33.488,13.6874,6.8687,12.4954,11.3395,14.047,11.3412,22.9565,22.5592,14.2298,34.1468,21.234,16.462,30.6092,33.48,6.2778,9.0697,7.1529,24.1191,24.1104
FBXO6,34.3668,13.1399,49.6397,26.4655,24.2506,41.3016,51.0286,40.2731,41.2963,21.6265,89.8312,63.4183,50.8423,25.2202,43.9349,43.5476,78.0437,53.412,16.6921,5.2617,86.717,19.07,27.1826,82.5078,26.1289,42.7416,33.9124,45.4245,34.6246,35.8904,46.0666,14.8386,46.8686,30.0874,24.325,22.6516,111.164,25.396,34.2141,39.8084,35.5429,37.61185,40.0039,14.7997,30.5242,11.6152,46.567,52.5331,25.2667,32.284,43.6295,53.7181,19.0065,55.3672,35.4127,26.7021,31.7283,55.5394,16.1383,41.094,37.7622,39.0388,51.2387,49.3261,25.2922,52.7046,16.7215,28.2109,24.8604,53.9557,27.7152,42.5351,39.149,34.3162,47.1014,34.834,35.182
FBXO7,50.585,53.7682,75.4555,39.9007,42.599,54.0737,34.7738,32.4544,34.5779,39.0722,34.1965,80.6704,21.9054,58.6889,41.7367,33.1134,33.505,47.5229,27.6907,38.3179,53.865,49.6911,28.1081,49.9319,41.5079,27.3436,54.6048,36.0158,34.1941,41.5612,35.4558,19.5232,41.2586,41.986,43.9763,37.5507,93.882,14.9349,28.9659,36.6981,41.589,44.2983,61.6908,61.033,39.0989,42.6241,52.7899,57.0018,35.5279,30.868,36.0134,54.7307,45.6981,26.7589,30.0189,44.797,43.6053,49.9201,58.8397,42.3508,42.9698,35.2351,39.0922,46.6096,82.4674,44.9085,35.3058,61.1362,41.874,49.9645,60.3024,64.8836,18.3619,45.2611,52.087,40.6023,32.683
FBXO8,32.7743,35.7277,23.1149,45.6076,42.7947,56.5863,25.0946,20.9316,24.8233,21.172,26.7997,24.0672,20.4653,17.2452,42.1128,23.1456,14.5857,29.3058,19.7929,20.9257,21.3576,40.9456,19.7526,21.4052,24.2747,31.7512,78.5245,33.4717,43.0531,38.9161,27.304,19.4363,16.1788,43.3322,13.6037,41.9929,41.9076,16.4186,31.1723,38.0467,46.4524,33.31545,25.0402,32.802,49.9589,37.4897,31.2314,33.3709,62.9508,41.6804,41.7846,48.3441,14.8519,29.4501,63.9682,32.5469,32.103,37.8697,22.5058,16.7264,29.6652,28.2646,24.8053,29.259,45.2749,26.236,49.5534,36.1585,25.4385,39.7904,47.6163,21.0432,24.5244,38.2234,33.3182,28.4123,27.8893
FBXO9,31.3661,6.4279,49.3058,36.812,23.9129,44.4006,15.516,51.5691,14.6624,15.654,42.3869,47.3738,11.5662,13.9984,22.6764,18.6387,36.6788,16.643,16.5145,24.2887,29.0268,31.5493,20.5841,24.4136,32.0349,18.926,16.711,23.5943,38.8461,57.3569,17.1673,6.8944,18.4463,18.7534,20.491,27.2794,32.2326,6.5244,35.5365,28.6826,83.5104,26.36515,23.6632,19.4596,25.6504,32.6431,39.3265,35.4043,43.3371,13.4371,21.1934,37.2284,22.9567,15.7804,36.4012,20.5503,35.322,37.537,21.6029,17.6764,33.0046,33.5668,22.2594,21.755,33.2889,12.251,28.0174,38.6958,50.1567,34.2761,27.8158,15.2477,15.1904,26.796,18.6981,20.0091,15.204
FBXW10,0.0929,0.0343,0.0121,0.0725,0.0494,0.2094,0.0365,0.0549,0,0,0.0793,1.5243,0.0482,0.332,0,0.1187,0.4781,0,0.0411,0.0116,0.1015,0,0.0858,0.2095,0.0541,0.1612,0.0851,0.0284,0.0728,0.1581,1.0382,0.0143,0.0346,0.0218,0.0259,0.1268,0.1336,0.1339,0.0427,0.0773,0.0144,0.04125,0.0635,0.1109,0.0423,0.1193,0.1745,1.079,0.0118,0.0409,0.0338,0.0811,0.2236,0,0.0417,0.8153,0.0316,1.6166,0.1355,0.0275,0.03,0.0815,0.0332,0.1859,0.0369,0.0233,0.0539,0.2803,0.0461,0,0.0874,0,0.2267,0,0.3423,0.0556,0.7134
FBXW11,53.3478,44.355,60.1012,77.0312,34.7922,98.9137,17.6654,33.6229,31.0408,31.6859,40.116,29.0499,20.5409,21.0515,58.7555,15.1733,34.1439,30.4769,12.5082,22.6152,53.1032,40.2946,33.2749,29.1843,21.8751,42.6737,65.5448,38.6269,37.3189,49.2448,28.4046,12.7775,10.6001,33.5663,16.4794,55.3899,67.5472,16.0202,37.9486,49.8173,92.6039,37.19785,35.5505,42.9433,68.3582,87.744,51.9574,83.3187,62.8651,33.9465,41.6242,86.2692,25.5477,52.9317,88.841,27.4227,66.0651,49.077,37.0281,41.9129,44.2492,57.2959,43.0563,30.8256,62.1912,30.3599,58.2263,36.6638,27.4142,37.8761,54.9372,56.3866,16.163,54.3117,34.1908,60.3078,40.6932
FBXW12,0.5257,0.1006,0.6867,0.4011,0.1244,0.2026,0.2296,1.0707,0.3627,0.2245,0.0798,0.1302,0.1334,0,0.3025,0.1494,0.3298,0.172,0.8269,0.2778,0.5108,0.2277,0.6473,0.0351,0.0907,0.2789,0.357,0.9653,0.3206,0.3671,0.4583,0.0269,0.029,0.2467,0.114,0.3988,0.0504,0.0518,0.1254,0.3501,0.5237,0.07825,0.1198,0.1396,0.3725,0.1501,0.7685,0.0943,0.0888,0.0514,0.3404,0.5354,0.25,0.139,0.2756,0.1709,0.0993,0.4499,0.3552,0.1383,0.2079,0.2903,0.5014,0.1079,0.1085,1.8495,0.3842,0.1645,0.4257,0.0204,0.7036,0.2781,0.4912,0.5551,0.2545,1.2589,0.0897
