gene_name,BH-A0E9,AN-A04A,AN-A0AJ,AR-A1AV,A2-A0EX,BH-A18N,AO-A126,A2-A0EY,AR-A1AW,C8-A135,AO-A12B,C8-A134,A2-A0SW,AN-A0AL,AR-A1AP,C8-A130,C8-A12U,C8-A12T,C8-A131,AO-A12F,AN-A0AM,AR-A1AS,AO-A12D,C8-A12V,D8-A142,AO-A12E,A2-A0T3,AR-A0TT,A8-A076,A2-A0YC,A2-A0CM,AO-A0J9,AN-A0FL,AO-A0JM,A7-A0CE,A8-A08Z,AR-A0TV,AO-A0JL,AN-A0FK,A2-A0YD,AR-A0TR,E2-A15A,A7-A13F,BH-A0AV,A2-A0T6,A2-A0YG,E2-A154,AR-A0U4,A2-A0YF,AO-A0JJ,BH-A0BV,AO-A03O,E2-A158,A8-A06Z,A8-A06N,AO-A0JE,BH-A0C1,A2-A0YM,A8-A079,AO-A0J6,A7-A0CJ,AR-A0TX,A8-A09G,AO-A0JC,BH-A0C7,A2-A0EQ,C8-A12Z,BH-A18Q,C8-A12L,BH-A0E1,BH-A0DD,A2-A0D2,C8-A138,A2-A0EV,BH-A0DG,BH-A18U,A2-A0SX
A1BG,0.4246,0.0877,0.0399,0.6202,0.1446,0.2474,0.0935,0.1958,0.2485,0.0653,0.087,0.351,0.0106,0,0.3298,0.5864,0.2707,0.2812,0.1202,0.1913,0.1609,0.0662,0.047,0.2299,0.2869,0.0885,0.6228,0.3274,0.2664,0.4403,0.2798,0.0939,0.0885,0.0956,0.0568,0.3305,0.3372,0.1808,0.0781,0.1357,0.9293,0.2106,0.2785,0.0761,0.4177,0.2127,0.3591,0.0329,0.2453,0.0598,0.3155,0.2224,0.259,0.1026,0.3206,0.2236,0.2251,0.2512,0.2602,0.201,0.2308,0.1937,0.0729,0.251,0.4054,0.1024,0.0394,0.1845,0.1182,0.0534,0.4411,0.097,0.1382,0.2572,0.1366,0.2135,0.0652
A1CF,0.0212,0.0052,0.0665,0.0066,0.0075,0,0.0389,0.1255,0.0282,0.0068,0,0,0.0264,0,0,0.0054,0,0.0078,0,0,0.0155,0,0.0784,0,0.0124,0.0138,0.0389,0.0454,0.0277,0.0056,0.025,0.0163,0.0053,0.0996,0.0473,0.0072,0.0183,0,0.013,0,0.0066,0.003,0,0.0063,0.0064,0.0477,0,0,0.0215,0,0.0077,0.0463,0.0511,0.035,0.0095,0.0807,0.0144,0,0.0206,0,0.0069,0.0186,0.0051,0.0196,0.0281,0.0693,0.0575,0.0512,0.0633,0,0.0399,0.0067,0.0115,0.0189,0.0071,0.0445,0.0326
A2M,876.3053,360.2426,186.117,262.907,382.0301,279.5439,253.1733,201.4924,302.2673,367.1691,135.4081,436.1375,147.9655,271.8756,373.7525,356.3944,149.0262,223.0516,135.5281,1313.7083,467.1998,132.8066,274.1975,269.6317,457.4476,475.9201,354.2399,344.1038,198.9249,302.5446,222.8631,303.5252,118.1814,246.5998,253.3519,594.5945,196.6902,148.5655,138.6495,642.7476,97.4754,341.35865,377.8282,7114.6833,440.0615,273.9387,166.7424,244.1323,504.0952,530.6573,444.1732,216.0103,255.3465,133.6403,91.0085,310.8336,418.9905,109.5348,136.3418,165.6795,165.9505,384.0059,286.398,272.3112,295.9724,213.6801,272.5466,1275.4215,201.6256,401.4768,142.4835,1036.4461,288.5484,263.3448,446.585,227.1186,227.5713
A2ML1,0.484,0.077,1.2794,0.0978,0.0808,0.0395,0.1119,4.2761,0.2336,9.1646,0.1362,56.7153,0.5082,2.4671,0.086,1.5146,0.1702,0.6391,7.4308,2.4018,1.4731,0.3082,3.453,3.4511,0.0884,0.2781,0.0609,0.2091,2.0094,0.0447,26.6605,0.1268,0.1908,0.1336,0.6985,0.0972,0.1229,0.4358,0.1572,0.1233,0.0792,0.41675,0.0097,33.8078,0.0692,0.4663,0.2675,19.4361,0.0649,0.1002,0.0622,1.3049,80.4266,0.0573,0.1791,1.0915,0.1451,142.2896,0.0485,40.741,0.0092,0.333,3.306,1.8325,0.1133,0.4937,0.7051,3.8839,83.14,0.0299,0.0536,0.0723,0.9963,0.0761,0.2194,0.1534,22.3894
A3GALT2,0.2655,0,0.052,0,0.0707,0.2072,0.2088,0.0589,0,0,0,0.2422,0.0413,0.1709,0.3438,0.1019,0.2646,0,0.2349,0.0997,0,0,0,0.2396,0.0773,0.2161,0.0609,0,0.1041,0.2086,0,0,0,0,0.2221,0,0.0573,0,0,0.199,0.3079,0.059,0.1361,0,0.121,0,0,1.3499,0,0,0,0,1.332,0.0365,0.179,0.0583,0,0.9818,0.0969,0.0393,0.1289,0.1165,0.2374,0.3067,0,0,0,0.4007,0,0.1393,0.075,0.2529,0.1621,0.1183,0.0667,0.0596,0.357
A4GALT,14.096,23.0828,11.952,8.9582,28.4826,6.0399,15.2658,9.9018,10.2379,10.8824,25.9328,30.0495,6.435,27.3453,27.6486,18.0931,19.8695,20.2956,13.706,11.9528,18.644,9.6165,6.7608,21.8806,15.3379,21.4383,22.769,9.4325,15.9231,28.2685,8.5686,13.4518,5.0751,24.2293,6.8169,22.185,4.9231,5.437,16.0587,29.3772,3.0201,75.0422,6.323,40.4622,16.0843,6.1572,42.4187,72.1062,5.0435,20.9528,51.7148,69.5461,2.7919,6.288,3.9539,15.2701,17.3212,25.1814,25.9889,27.839,18.3724,9.0297,4.2387,21.8795,18.9259,5.184,5.3998,37.3309,5.4073,34.4121,41.5662,7.6852,15.5367,9.8742,13.0728,11.2237,16.0492
A4GNT,0.1527,0,0.2394,0.3575,0,0.0794,0,0.1016,0,0,0.0391,0.1392,0,0,0,0,0,0,0.1013,0,0.1391,0,0.0705,0,0.0445,0.3728,0.315,0.2103,0.0599,0.06,0.1348,0.0703,0,0,0.5428,0.6256,0.033,0,0,0.1144,0.0354,0,0,0.2736,0.2087,0,0.1076,0.0739,0.029,0.0336,0.1251,0.15,0.1532,0,0,0.067,0.0778,0.1764,0.0557,0.0226,0.0741,0.1674,0.0273,0.1411,0.2126,0.0288,0.0443,0.4609,0.0379,0.04,0,0.1091,0.0311,0.1701,0.0384,0.0343,0.0587
AAAS,27.4405,19.4505,42.1825,62.3465,25.4947,49.4548,37.5156,30.6978,20.1557,14.2466,20.587,18.7614,25.7732,16.3566,36.3065,22.4544,23.3198,32.4201,16.9564,17.1549,26.4785,37.3118,18.6009,18.0328,19.5238,37.4003,28.8855,27.3304,34.115,28.8976,24.2465,26.6164,20.1982,31.977,29.7168,31.6376,23.6997,10.851,47.4426,29.7537,57.8727,36.1378,39.5868,18.8579,31.0586,24.4167,32.4829,16.7637,10.2461,23.8508,33.7859,28.2205,14.5865,38.6552,49.6768,25.4037,34.3215,25.0732,31.7558,14.675,32.7263,23.0874,26.5143,37.9747,25.4718,24.4463,40.6775,32.0349,27.4315,29.2537,36.391,32.2094,32.0006,38.1063,32.8864,33.6473,28.0338
AACS,13.4816,8.7033,4.1849,19.9013,12.5215,13.4385,11.1032,16.089,3.6194,8.5399,20.2724,11.7434,4.6087,23.9541,17.6674,6.1597,12.9777,12.1165,8.0767,4.8873,16.8818,17.2236,12.1919,13.4795,16.5839,16.7269,12.7599,9.0966,18.0234,9.1488,7.3403,5.1099,21.6198,9.2633,9.8453,15.4131,15.2451,1.6511,12.8369,11.5989,21.4037,20.87065,15.5212,4.7801,12.0813,20.9518,10.3313,8.8357,12.0917,9.5451,12.2616,14.2666,14.5994,10.4318,14.0441,12.9962,7.499,7.2212,12.9432,10.815,13.43,6.4886,15.0077,4.2405,11.4088,8.3284,16.6236,14.6041,17.1918,21.392,12.1118,12.4284,6.4678,12.1172,9.4667,8.5287,10.0316
AADAC,0.2081,0,0.8154,0.1169,0,0,0,0.2215,0.083,10.1562,0,0,0.1555,0,0.862,0.0639,0.1244,0,14.1008,1.7188,0,0,0.4227,0,0,0.9212,0,0.0382,0.2611,0.1962,0.1959,2.2426,0,0.0586,0,0,0,0.3046,0.2297,0,0.0386,0.1623,0,0.0373,0.0379,0.0401,0,0.4835,0.2847,0,0,0.2725,0,0,0,1.2056,0,0.0769,0.0304,0,0,1.6791,0,2.0376,0.1325,0.0314,0.1932,0.2512,0.2895,0.0437,0,0.0396,2.3367,0.0371,0.2928,0.1121,0.6713
AADACL2,0.0402,0,0,0,0,0,0,0.0238,0.0267,0.0257,0,0.0081,0,0,0,0,0,0,0,0,0,0,0,0,0.0078,0,0,0,0,0.021,0.0158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204,0.0118,0,0,0.0107,0,0,0.1999,0.0137,0,0,0,0,0,0,0.2598,0.0107,0.0101,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0.0104,0,0.0217,0.0386,0,0,0,0.0126,0.2929,0,0,0,0,0.0327,0,0,0,0,0,0.0309,0,0,0.028,0,0,0.0111,0,0.0167,0,0,0,0,0.0305,0,0,0,0,0.0737,0,0,0,0,0,0,0,0,0,0.0099,0,0,0,0,0,0,0,0.0607,0,0,0.0189,0.016,0,0,0,0,0.0129
AADACL4,0,0,0,0,0,0,0.1017,0,0,0,0,0.0262,0.0537,0,0,0,0,0,0,0,0,0,0,0.0389,0,0,0,0,0,0,0.0507,0,0,0,0.0361,0,0,0,0,0,0.04,0.04005,0,0,0.0393,0,0,0.0835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0
AADAT,2.3781,2.7836,1.3979,3.4476,1.7769,4.7826,2.3553,3.671,1.0952,23.5536,0.4453,7.7292,0.7261,4.4729,1.865,2.5615,1.0025,8.684,5.0374,23.5771,3.5161,0.9803,2.365,3.1156,16.5025,1.3847,11.1737,2.3513,3.0663,1.4373,16.012,1.3482,0.2724,3.1225,12.8139,5.2462,0.908,4.8235,0.9468,3.4037,0.1273,10.34395,5.3208,8.912,2.5622,1.432,1.3537,4.3398,1.0605,1.7511,2.7486,3.174,8.0016,0.201,0.5087,28.3266,1.6786,30.4368,1.5017,4.3709,4.0391,1.4241,0.6706,1.2887,2.4382,6.6887,2.7872,14.1337,9.841,2.3268,2.4789,11.8904,1.6003,1.4261,5.4709,6.0164,9.9425
AAGAB,79.1865,54.2096,71.1739,113.5169,80.994,156.8106,48.2495,54.9228,37.6539,34.7568,60.3243,74.5327,22.9116,59.4337,135.8752,63.5786,75.1424,71.2068,37.7526,29.0869,77.7296,127.5909,33.631,34.5202,33.7267,83.7378,81.507,90.8291,68.7783,90.9861,36.2929,17.1907,13.3575,89.0225,57.502,77.5431,72.8324,11.9369,57.0798,91.5713,102.3696,150.26925,132.1653,62.5089,78.0458,106.5722,88.2319,73.0556,99.925,58.0019,106.0466,125.6828,38.713,65.0821,122.1808,60.3592,73.427,47.5142,75.5937,35.2663,57.0406,48.5004,100.2099,35.6926,101.3055,41.8827,87.048,39.1308,60.3231,75.0133,118.5038,71.8531,32.2549,90.2921,66.1762,104.065,32.3141
AAK1,14.7233,5.8207,6.3872,6.7148,4.8074,10.8721,3.7981,7.6426,8.2849,5.679,4.9259,9.9483,3.6325,4.5171,10.5251,6.4287,3.3858,4.0954,5.1588,4.5575,6.8152,8.9001,7.0559,8.3572,11.788,6.6286,8.416,7.2884,8.4828,8.6709,6.0709,2.5209,2.2351,6.3384,6.6901,9.4833,11.0247,1.4389,4.6406,10.6537,14.2876,7.8677,5.6241,8.2663,11.6251,10.5876,7.3212,5.895,7.499,8.855,8.224,8.8563,9.3905,6.3325,7.3403,5.3713,13.5627,9.2838,6.158,7.3091,7.9091,11.7329,9.7635,11.0013,10.0522,4.2125,10.4405,7.498,7.491,7.8834,9.9712,4.4207,3.6084,8.3686,9.0935,5.2043,8.3813
AAMDC,9.7166,4.2549,8.7665,6.1536,14.5108,9.7474,34.7378,10.0755,3.6038,10.5457,5.8038,9.9234,11.8831,10.4655,52.3993,7.1872,3.831,13.8915,6.8341,3.491,5.5528,8.9457,5.1321,3.8162,13.7629,11.971,5.5757,6.8673,9.6756,7.8542,6.7462,6.1018,11.6861,13.7777,7.6009,8.0191,57.7178,4.6053,14.729,10.4755,15.3341,25.57515,11.931,13.6852,10.9536,9.2605,12.0706,5.8214,6.7765,16.6138,10.5036,11.9919,13.3811,19.1232,8.0586,13.0725,9.9072,4.9109,112.7094,14.2311,11.6017,7.1743,17.2263,4.5854,12.5439,39.7106,5.8428,10.6333,7.9555,7.9933,19.4592,4.1277,6.7129,11.3664,41.4267,13.9046,6.3368
AAMP,174.1695,144.0658,162.04,143.2043,184.2718,212.7471,154.0251,134.8263,82.3667,154.8835,147.4687,227.2087,82.0139,210.7648,219.758,127.1206,222.1672,127.0534,139.542,174.2872,190.4489,125.9775,55.7559,120.274,94.3567,155.9058,141.4001,130.3346,161.9495,143.3443,140.0202,46.4979,259.0424,104.2762,56.932,133.4476,177.711,42.2038,130.5144,141.2449,234.639,196.65045,162.3832,69.7105,150.2058,149.9206,182.3048,158.3434,81.4998,140.7883,127.1701,222.8399,102.4113,130.7592,211.3671,110.4465,155.5544,172.238,174.1405,93.2211,163.1531,123.3345,119.1651,79.7271,110.0294,123.2812,205.9817,120.3361,71.544,163.3805,139.5518,153.7046,109.9377,137.6304,119.1343,148.5818,125.1092
AANAT,0.126,0.0232,0.1234,0.177,0,0,0.0743,0.1956,0.3562,0.0303,0.1614,0.7085,0.1177,0.1621,0.0816,0.3142,1.8518,0.0348,0.0557,0.3785,0.5509,0.1637,0.2036,0.3695,0.0734,0.3897,0.2599,0.2314,0.0988,0.099,0.7414,0.029,0.0938,0.133,0.1581,0.0645,0.136,0.0838,0.029,0.1888,0.2045,0.3263,0.0646,0.0564,0.1148,0.0607,0.0444,0.1525,0.1437,0.1109,0.0688,0.165,0.2781,0,0.2973,0.0277,0.0321,0.0874,0.1609,1.1371,0.0917,0.2487,0.0225,1.2805,0.0752,0.0712,0,0.1521,0.3131,0,0.0356,0.42,0.0256,0.1403,0.0317,0.0566,0.2662
AAR2,81.0735,60.3811,173.0594,84.4962,84.766,92.7516,63.7302,90.9466,45.2634,62.3306,58.3414,45.255,51.5057,56.0479,93.3925,64.2726,107.9956,138.805,47.1028,59.0924,46.1558,93.8071,32.5811,101.6136,68.9747,72.0979,86.1556,66.5732,108.0765,62.8572,99.9779,30.9187,41.3075,86.2347,47.2586,71.2184,88.3409,28.8406,64.6217,89.2221,83.7492,137.06375,78.8423,67.7149,73.52,110.4349,86.2502,63.9798,85.8023,64.0005,77.5394,80.7301,32.3769,60.0187,120.8435,88.6193,87.1965,55.0832,142.2799,63.364,102.0044,93.0161,64.8866,44.0877,88.1642,56.1363,76.3452,82.7002,70.2868,62.7424,89.4781,104.3911,74.4977,80.3504,72.4545,111.7057,53.2651
AARD,14.3225,602.9256,28.6074,124.0474,76.4736,624.2033,53.6649,40.266,1.0336,8.6863,38.9747,86.25,16.7637,11.0519,28.1609,37.3029,119.3779,19.3053,13.0717,22.8697,84.0366,15.8551,19.1746,23.0694,101.2648,33.7903,401.7796,39.7863,24.5903,41.4175,148.4808,1.8087,29.3661,149.7345,59.4719,74.651,574.573,337.1349,20.1701,43.9703,134.0757,47.1319,16.7958,612.7251,10.2685,135.2412,86.0112,44.0961,41.0027,22.5289,34.4207,9.2853,440.971,41.4335,19.5778,32.4412,6.74,112.7302,147.3118,18.4736,91.4938,55.0859,3.0513,1.2267,266.8369,3.7058,86.2809,974.5943,18.3633,39.8592,170.1325,47.6212,21.4035,17.5429,11.8992,128.6182,790.4074
AARS1,43.5183,117.674,85.2406,77.9023,37.0427,58.3529,28.7157,106.1537,36.4256,57.4808,45.4286,114.9623,42.341,77.8913,73.8161,45.1462,63.4166,101.2623,35.5829,67.9562,105.3915,62.2469,54.5514,55.0794,57.2527,39.1541,63.9272,53.9364,71.0922,33.0421,94.9779,20.6104,75.1991,55.7989,86.0841,51.7956,74.4914,24.4746,48.1387,38.8753,93.3658,115.4723,80.009,62.4623,40.2556,175.9794,34.5433,84.2613,29.833,38.3767,87.248,72.7477,50.4588,53.6688,111.782,66.0941,39.338,63.7437,51.1388,118.0696,54.6186,59.9489,33.4382,29.7917,75.1828,72.8175,61.243,144.2922,75.6352,39.4102,90.1775,132.1092,22.2838,53.953,62.9086,79.6958,76.4755
AARS2,17.9301,4.5498,35.7434,21.1467,14.6049,16.7977,13.0491,18.2823,13.0047,15.4736,16.9046,27.7559,7.2926,16.2946,9.9124,17.306,8.081,17.192,14.2475,27.7381,10.0833,14.5255,16.3308,17.0327,45.8442,14.9565,15.4647,13.2742,21.4978,16.4902,16.8329,7.7697,8.2676,23.4003,21.7694,21.5629,20.5214,8.2073,20.61,15.6608,36.013,16.4024,20.2525,22.693,18.1876,25.8124,16.4537,16.9484,8.284,9.3055,20.1035,14.4884,25.5375,10.184,23.2148,11.7497,22.4031,53.866,11.8741,19.4359,20.5962,11.2505,19.3592,15.9071,21.4847,11.9941,17.7164,22.7566,14.3062,14.0257,24.2863,19.7417,13.0525,16.1251,10.1066,7.4691,14.4611
AARSD1,1.0267,0.2029,0.891,2.3351,0.1561,1.3546,0.6487,0.9595,1.488,0.599,0.9209,1.0812,0.2512,0.2045,0.4985,2.1242,0.676,0.3239,0.5353,2.8227,0.5077,0.524,0.4572,0.6949,0.6728,1.3013,0.9245,0.7238,0.3738,2.2473,0.9926,0.6756,0.0956,0.1807,0.6441,1.8216,0.7597,0.2806,0.4555,1.2822,1.6496,0.84315,0.9209,0.1643,1.0189,0.6889,1.99,0.2841,0.6413,0.3066,0.6411,0.5522,0.7946,0.6547,1.9035,0.7083,0.6543,0.2881,0.6556,0.293,0.6228,0.4182,1.9935,1.677,2.1885,0.4423,0.149,1.2838,1.0023,0.1923,1.5529,0.7509,0.4476,0.9801,0.5714,1.1196,0.7324
AASDH,17.4667,10.8413,16.2982,16.4119,9.3823,22.2606,7.6988,8.1669,13.3567,12.4931,10.8289,12.3756,4.6067,6.6603,11.486,10.5132,13.3622,8.3933,4.7123,7.3093,7.5184,14.6735,6.3335,9.0327,10.0298,13.6631,24.2548,10.4231,13.4115,16.4411,7.7624,3.0045,4.1291,10.8056,9.7029,14.7816,14.662,7.7586,6.9682,16.4149,18.7182,18.3994,9.7976,12.2244,17.7603,12.7654,12.0533,10.5834,16.9083,12.8446,12.8844,21.4591,20.8937,8.3605,24.7607,12.8114,13.5541,17.8184,9.5196,14.5166,9.3615,12.5696,8.1417,12.322,9.7075,6.3257,23.0039,10.6755,16.7374,10.8227,19.4614,6.7959,3.4557,10.2188,11.1341,12.1605,4.7755
AASDHPPT,23.5762,24.489,26.3264,18.7096,29.4088,34.3162,10.6743,40.7394,13.2902,17.795,25.0703,25.9774,21.8375,16.6943,14.734,8.4805,15.6576,17.4731,14.6734,19.4386,17.7668,19.6656,16.9246,13.771,12.8697,16.0143,26.9877,16.3693,39.5412,15.1197,19.3057,9.3538,20.8245,25.6577,16.4832,30.2892,14.8047,8.7553,51.9101,24.9437,38.2366,24.2839,21.3149,15.7617,29.0637,31.7829,35.0665,18.5135,28.6085,19.1196,17.8393,12.2517,18.0144,9.2223,18.9066,12.2467,34.766,17.7985,16.7255,24.3835,18.644,28.6989,21.1779,20.8096,48.0101,9.9875,27.185,25.1982,18.0361,20.1873,23.1877,19.2215,22.234,25.1481,14.3526,83.9355,14.7398
AASS,17.2021,2.8797,1.925,10.4119,3.3088,13.7117,13.8464,4.3478,5.5928,2.7516,1.5146,2.1375,2.075,3.1039,3.4435,3.3466,1.5435,2.7452,3.7778,11.1889,2.28,5.8388,3.3409,8.2762,3.3539,5.9124,6.5495,3.2934,2.2776,3.9715,2.9384,3.9478,3.4832,3.9167,3.5459,18.4961,1.082,3.1534,1.8191,13.3779,6.7489,2.9571,4.7009,5.4511,18.2245,2.975,7.2111,3.2071,6.4776,8.3873,6.0025,3.4431,1.3005,1.1252,12.0847,6.5136,6.4734,2.0442,1.5468,4.0106,2.5617,6.034,2.0265,14.9042,5.8875,2.0053,4.1879,19.377,3.5756,7.1521,2.3822,6.726,2.9773,5.9653,5.3888,2.4801,4.3294
AATF,47.4283,38.4191,77.1508,70.87,49.2096,58.9289,50.4606,33.8544,41.7159,31.579,42.1415,50.8097,21.9055,33.0105,36.0977,90.6898,38.8787,58.7672,31.5655,53.8066,40.2659,57.8305,22.4476,39.3331,52.3771,56.756,74.3254,115.9039,34.8381,47.4186,57.8534,23.3787,16.7913,54.1053,80.0619,47.5879,68.8171,29.1237,59.6547,45.6994,61.4132,68.3481,74.8874,45.2777,52.2846,39.3989,62.9714,34.9166,41.0626,49.2159,76.5506,87.5123,29.9873,45.7568,144.5209,80.734,42.5172,74.6132,36.3528,65.7703,26.8913,188.8023,43.4222,51.8319,125.8526,35.6354,27.2484,42.311,221.2737,52.7981,109.8011,51.743,28.7605,86.0017,37.4425,87.8669,49.335
AATK,3.5458,0.5171,0.6059,1.139,0.5925,4.3333,1.1752,1.1428,1.1108,0.9459,1.0037,0.8679,0.6418,0.8269,8.1468,1.649,1.9001,0.7397,1.5321,2.3997,1.7841,1.0512,0.5664,1.265,1.2398,1.584,2.0412,0.7807,0.8851,2.4013,0.6187,0.9282,1.4046,0.1959,1.1294,1.2405,4.8226,1.2861,0.8204,3.1717,1.8739,1.2001,0.8928,0.7527,1.0846,0.869,0.9371,0.7137,0.435,1.3338,1.5601,0.9584,1.0631,1.1013,8.2345,0.8733,0.4099,1.0243,9.5113,1.9551,4.0017,1.2297,0.8885,0.8714,1.5051,4.0837,0.4068,1.5928,1.6546,0.7353,1.0011,0.697,0.8556,0.8587,1.3212,0.8794,0.6612
ABAT,46.8523,15.1042,7.7435,79.9015,7.8375,119.9037,7.3118,49.9228,25.5856,1.4377,35.7833,5.0796,7.1879,0.7258,47.4859,4.0825,88.0611,17.3371,4.0023,7.4666,16.0759,172.1189,2.1695,3.1293,6.7973,54.8458,8.4807,4.9878,14.6836,44.8824,1.5964,10.4251,1.1246,23.0135,5.2808,14.6952,3.2954,1.4656,58.3492,162.0197,77.1336,18.5551,34.0731,2.9067,22.676,25.9482,75.9175,2.4509,105.7571,23.5841,35.4981,32.9158,2.2559,12.7169,21.2631,12.1053,36.0868,1.4607,5.0154,1.651,13.511,26.5012,8.9825,17.1439,34.3346,2.3193,14.9751,10.8972,0.8756,27.9016,17.9867,1.2985,10.629,25.9457,19.2521,15.7849,2.5675
ABCA1,18.3564,17.3775,15.3029,49.1995,11.5359,4.6477,6.1105,8.9109,20.4473,10.4761,3.6698,9.3072,9.0331,10.8589,9.5571,4.8648,4.4922,18.0912,5.5778,12.6119,7.1643,14.499,11.0745,16.3803,11.1389,14.1045,20.9463,18.6123,22.8324,10.0292,12.8805,14.0152,4.7213,10.1314,12.1586,51.5848,10.2744,2.8447,17.4517,28.4712,28.1879,14.208,5.3456,23.4366,35.3604,18.297,8.1608,40.6695,7.4154,20.9487,11.9337,9.6435,17.8901,19.5359,14.5144,9.3986,14.5227,14.8209,11.355,8.6631,12.7026,23.1079,53.4782,23.9786,19.6767,9.4112,12.2394,13.7331,16.6326,4.7922,14.6582,5.2459,8.3659,12.7116,15.667,8.097,15.9877
ABCA10,2.2705,0.4054,0.3167,0.1967,0.6623,0.454,0.7433,0.5733,1.0159,0.3028,0.1656,0.4421,0.166,0.0416,0.7741,0.8059,0.0725,0.0624,0.0143,0.2791,0.1237,0,0.291,0.7874,0.24,1.4679,1.2667,0.3858,0.1901,0.4444,0.2663,1.0421,0.1143,0.1934,0.1622,0.3559,0.4813,0.285,0.171,1.8566,0.5921,0.30235,0.1574,0.2027,1.3029,0.4359,0.0569,0.3599,0.6082,2.2475,0.1766,0.5819,0.1621,0.142,0.1798,0.2625,0.4778,0.0971,0.0943,0.2104,0.0549,0.971,0.2023,2.0081,1.0866,0.0914,0.0281,5.8819,0.1044,0.1441,0.1551,0.2078,0.2959,0.4535,1.7789,0.1234,0.689
ABCA12,6.3363,2.0534,97.0075,14.4871,0.3083,2.8888,0.4888,65.781,0.094,27.7136,1.9115,1.7522,4.073,0.4182,30.8097,1.9295,8.5449,10.6061,6.8997,0.0796,67.581,16.2071,30.1964,0.1848,2.2836,101.9532,1.2693,2.9379,76.2568,3.1858,0.6069,0.9761,0.1315,1.9193,0.579,1.7075,0.0366,0.0564,4.7771,17.1133,5.3332,7.71225,14.7138,0.2658,3.4622,32.5923,1.6728,0.2052,0.8915,3.2271,0.1775,2.8121,0.0227,0.2406,0.2048,23.5235,26.123,0.8162,11.3816,1.1036,65.3575,104.9154,64.8694,0.3589,4.688,24.9235,19.131,0.7334,105.6812,14.1834,18.7781,0.2287,17.0274,49.8201,0.8806,20.6225,0.5644
ABCA13,0.1638,0.0341,0.0084,0.0167,0.0341,0.0185,0.0056,0.0063,0.0166,0,0,0.6472,0.0288,1.9274,0.0277,0.0137,0.0071,0,0.0283,0.4946,0.013,0.037,0.023,2.2424,0.6844,0.0232,0.0261,0.0098,0.0056,0.0056,0.2472,0.0033,0.008,0.005,0.0923,0.0729,0,0.2653,0.0066,0.0427,0,3.1945,0.0109,0.2807,0.0973,0.0755,0.0201,0.1586,0.0352,0.0125,0.0039,0.028,0.5944,0.002,0.2136,0.15,0.0073,5.858,0,9.2854,0.0138,0.0094,0,0.2072,0.0255,0.0107,0.0207,16.0964,0.46,0.0411,0.0201,0.8748,0.0551,0.0127,0.0716,0.0288,0.134
ABCA2,26.558,21.7976,17.8788,23.5555,22.8246,18.7804,16.7523,22.1429,10.6747,6.0396,30.4041,16.6986,7.1551,6.8863,36.3082,16.5011,24.7989,10.4576,9.5346,21.6156,15.4835,21.5688,14.0505,13.1699,15.5661,25.7242,35.3165,24.2099,26.0429,28.5413,3.4035,6.6332,7.515,13.568,12.9726,37.8833,29.8031,6.8139,17.2627,23.7495,45.1498,35.01715,15.7719,20.9187,24.4635,26.3549,22.7027,8.4866,11.3841,17.4344,17.8583,17.9456,34.0671,35.0914,30.4691,9.4667,31.4175,14.6533,38.347,15.9128,18.3069,57.3812,14.6281,18.2224,23.7545,7.4439,36.0373,12.8676,27.8872,27.9164,32.251,5.4466,20.1963,11.4314,14.7555,41.5988,8.7368
ABCA3,51.1426,59.8575,23.5998,174.2827,49.1715,102.3903,16.1345,107.5589,11.8845,4.9418,381.2769,22.1409,22.2274,9.7656,31.7591,20.1043,21.0881,29.4945,17.0923,32.8982,39.0528,111.4752,6.3487,29.211,52.2507,51.2291,69.9296,26.9649,58.1225,159.9605,49.8562,16.7272,9.1109,79.5094,20.7876,131.3804,76.5989,10.3425,76.3697,57.2052,184.3601,50.30235,65.0304,12.3971,49.406,27.961,108.607,59.7109,45.4946,17.0742,72.853,47.0187,37.2339,26.44,73.6908,32.7002,46.6179,14.6241,64.2964,68.9533,58.683,23.0987,76.5969,13.9651,54.8035,7.6694,34.1753,33.1349,28.0416,101.5238,49.5884,20.3053,15.8069,64.3988,35.7629,28.8518,10.6763
ABCA4,3.2339,0.1407,0.1432,0.3125,0.1692,0.3721,0.4811,2.6922,0.0793,1.13,0.0652,7.8159,0.0841,0.1909,1.2961,0.4877,0.0554,0.4825,0.703,0.7936,0.3011,1.022,1.5556,0.1936,0.7961,1.6504,0.2331,0.1605,12.512,0.874,0.4956,0.7357,0.0947,1.1745,0.5715,0.9278,0.0754,1.4118,2.1055,11.9071,3.1616,0.619,15.3534,0.3417,0.2461,2.2047,3.5392,3.0853,15.4173,0.4686,0.1042,0.2393,9.6169,0.1353,0.4339,1.7859,0.8345,1.4543,5.9084,0.4608,1.473,0.3206,0.0455,0.4405,2.6366,0.1258,12.1386,3.1271,0.774,0.15,0.6909,0.5903,8.7554,1.4159,1.6215,2.3261,73.3222
