,Localization,p_value,U_statistic
0,Cytosol,0.6865695998535031,531153.0
1,Mitochondria,1.7980209587424523e-30,55338.0
2,Nucleus,8.523950424641506e-146,358376.0
3,Secretory,5.171250779590404e-161,92828.0
