,Score,Localization,Dataset_Name,Type
ALDH3A2,-0.2629778,Secretory,Lung_NAT_PD,Proteome
ALDH9A1,0.07431602,Cytosol,Lung_NAT_PD,Proteome
ALDOA,0.010347381,Cytosol,Lung_NAT_PD,Proteome
ALG1,-0.16643675,Secretory,Lung_NAT_PD,Proteome
ALG11,-0.041321088,Secretory,Lung_NAT_PD,Proteome
ALG3,-0.12990946,Secretory,Lung_NAT_PD,Proteome
ALG5,-0.22996017,Secretory,Lung_NAT_PD,Proteome
ALG6,-0.063241765,Secretory,Lung_NAT_PD,Proteome
ALKBH3,0.14574626,Cytosol,Lung_NAT_PD,Proteome
ALKBH8,-0.28062877,Cytosol,Lung_NAT_PD,Proteome
AMDHD2,0.050352894,Cytosol,Lung_NAT_PD,Proteome
AMFR,-0.19750927,Secretory,Lung_NAT_PD,Proteome
AMOTL2,0.19553247,Cytosol,Lung_NAT_PD,Proteome
AMPD2,-0.43157193,Cytosol,Lung_NAT_PD,Proteome
ANKLE2,-0.52281386,Secretory,Lung_NAT_PD,Proteome
ANKMY2,-0.06474713,Cytosol,Lung_NAT_PD,Proteome
ANKRD12,0.3877331,Nucleus,Lung_NAT_PD,Proteome
ANKRD54,-0.21338773,Cytosol,Lung_NAT_PD,Proteome
ANKS1A,0.037564352,Cytosol,Lung_NAT_PD,Proteome
ANO10,-0.26014373,Secretory,Lung_NAT_PD,Proteome
ANO6,-0.07945098,Secretory,Lung_NAT_PD,Proteome
ANXA1,0.11945083,Cytosol,Lung_NAT_PD,Proteome
ANXA11,0.022460489,Cytosol,Lung_NAT_PD,Proteome
ANXA5,-0.006005245,Cytosol,Lung_NAT_PD,Proteome
AP2A1,-0.15231746,Secretory,Lung_NAT_PD,Proteome
AP2A2,-0.03342173,Secretory,Lung_NAT_PD,Proteome
AP2M1,-0.33558574,Secretory,Lung_NAT_PD,Proteome
AP3B1,-0.18783525,Cytosol,Lung_NAT_PD,Proteome
AP3D1,-0.23202538,Cytosol,Lung_NAT_PD,Proteome
AP3M2,0.06388951,Cytosol,Lung_NAT_PD,Proteome
AP4E1,-0.16101092,Cytosol,Lung_NAT_PD,Proteome
APLP2,-0.03776108,Secretory,Lung_NAT_PD,Proteome
APMAP,-0.43040615,Secretory,Lung_NAT_PD,Proteome
APOO,0.45473352,Mitochondria,Lung_NAT_PD,Proteome
APOOL,0.47657812,Mitochondria,Lung_NAT_PD,Proteome
APP,-0.109839976,Secretory,Lung_NAT_PD,Proteome
APPL1,0.13229327,Cytosol,Lung_NAT_PD,Proteome
APRT,0.1459899,Cytosol,Lung_NAT_PD,Proteome
ARAP1,-0.3498509,Cytosol,Lung_NAT_PD,Proteome
ARCN1,-0.31129137,Cytosol,Lung_NAT_PD,Proteome
ARFGEF2,-0.5163689,Cytosol,Lung_NAT_PD,Proteome
ARFRP1,-0.052876808,Secretory,Lung_NAT_PD,Proteome
ARHGAP12,0.08507246,Cytosol,Lung_NAT_PD,Proteome
ARHGAP17,-0.4045179,Cytosol,Lung_NAT_PD,Proteome
ARHGAP35,0.085102275,Cytosol,Lung_NAT_PD,Proteome
ARHGAP5,0.16695257,Cytosol,Lung_NAT_PD,Proteome
ARHGDIA,0.010808588,Cytosol,Lung_NAT_PD,Proteome
ARHGDIB,-0.23248892,Cytosol,Lung_NAT_PD,Proteome
ARHGEF10,0.09484932,Cytosol,Lung_NAT_PD,Proteome
ARHGEF10L,-0.44413775,Cytosol,Lung_NAT_PD,Proteome
ARHGEF40,-0.13077268,Secretory,Lung_NAT_PD,Proteome
ARHGEF7,0.13690709,Cytosol,Lung_NAT_PD,Proteome
ARID1B,0.34805492,Nucleus,Lung_NAT_PD,Proteome
ARIH1,-0.23024777,Cytosol,Lung_NAT_PD,Proteome
ARIH2,-0.5087525,Cytosol,Lung_NAT_PD,Proteome
ARL13B,-0.036099456,Secretory,Lung_NAT_PD,Proteome
