,Score,Localization,Dataset_Name,Type
AMOTL2,0.24316065,Cytosol,Krug_Breast_PD,Proteome
AMPD2,0.052691065,Cytosol,Krug_Breast_PD,Proteome
ANKLE2,0.39824525,Secretory,Krug_Breast_PD,Proteome
ANKMY2,0.34867314,Cytosol,Krug_Breast_PD,Proteome
ANKRD12,0.26039287,Nucleus,Krug_Breast_PD,Proteome
ANKRD54,0.004253071,Cytosol,Krug_Breast_PD,Proteome
ANKS1A,-0.24488081,Cytosol,Krug_Breast_PD,Proteome
ANO10,0.44511622,Secretory,Krug_Breast_PD,Proteome
ANO6,0.4257887,Secretory,Krug_Breast_PD,Proteome
ANXA1,0.16301437,Cytosol,Krug_Breast_PD,Proteome
ANXA11,0.39042738,Cytosol,Krug_Breast_PD,Proteome
ANXA5,0.27079177,Cytosol,Krug_Breast_PD,Proteome
AP1AR,0.4267047,Secretory,Krug_Breast_PD,Proteome
AP2A1,-0.057600413,Secretory,Krug_Breast_PD,Proteome
AP2A2,-0.2690019,Secretory,Krug_Breast_PD,Proteome
AP2M1,0.18079257,Secretory,Krug_Breast_PD,Proteome
AP3B1,0.42745903,Cytosol,Krug_Breast_PD,Proteome
AP3D1,0.38745698,Cytosol,Krug_Breast_PD,Proteome
AP3M2,0.2720843,Cytosol,Krug_Breast_PD,Proteome
AP4E1,0.45250493,Cytosol,Krug_Breast_PD,Proteome
APLP2,0.38132465,Secretory,Krug_Breast_PD,Proteome
APMAP,-0.3161164,Secretory,Krug_Breast_PD,Proteome
APOO,0.24039906,Mitochondria,Krug_Breast_PD,Proteome
APOOL,0.26947248,Mitochondria,Krug_Breast_PD,Proteome
APP,-0.10742263,Secretory,Krug_Breast_PD,Proteome
APPL1,0.3110322,Cytosol,Krug_Breast_PD,Proteome
APRT,0.42218104,Cytosol,Krug_Breast_PD,Proteome
ARAP1,0.29133442,Cytosol,Krug_Breast_PD,Proteome
ARCN1,0.4200103,Cytosol,Krug_Breast_PD,Proteome
ARFGEF2,0.28456894,Cytosol,Krug_Breast_PD,Proteome
ARFRP1,-0.3623227,Secretory,Krug_Breast_PD,Proteome
ARHGAP12,0.43511647,Cytosol,Krug_Breast_PD,Proteome
ARHGAP17,0.41328323,Cytosol,Krug_Breast_PD,Proteome
ARHGAP35,0.29258347,Cytosol,Krug_Breast_PD,Proteome
ARHGAP39,-0.43928653,Secretory,Krug_Breast_PD,Proteome
ARHGAP5,0.33736357,Cytosol,Krug_Breast_PD,Proteome
